candidate,form_factor,positioning,headline_ai_compute,compute_metric,cpu,memory,memory_bandwidth_gb_s,power_w,robotics_io,software,public_price_usd,price_basis,china_price_cny,availability_2026_08_05,direct_substitute,source_ids,notes
NVIDIA Jetson AGX Thor Developer Kit,developer kit,robotics and physical AI,2070,FP4 sparse TFLOPS,14-core Arm Neoverse-V3AE,128GB LPDDR5X,273,40-130,"2x CAN; 5GbE; QSFP28 4x25GbE; HSB/USB camera","JetPack 7; CUDA 13; TensorRT; Isaac ROS",5499,current US MSRP,40999,"US marketplace out of stock; China channel listing orderable",yes,"SRC-robotics-363;SRC-robotics-364;SRC-robotics-365","China price is a distributor quote including tax and is dynamic; dev kit is not for production"
NVIDIA Jetson T5000,production module,production robotics and physical AI,2070,FP4 sparse TFLOPS,14-core Arm Neoverse-V3AE,128GB LPDDR5X,273,40-130,"carrier-board dependent; 4x25GbE on module","JetPack 7; CUDA 13; TensorRT; Isaac ROS",4999,1KU+ suggested price,unknown,contact distributor,yes,"SRC-robotics-363;SRC-robotics-364","Requires carrier board thermal design storage and production bring-up"
NVIDIA Jetson T4000,production module,lower-power Thor family,1200,FP4 sparse TFLOPS,12-core Arm Neoverse-V3AE,64GB LPDDR5X,273,40-70,"carrier-board dependent; 3x25GbE on module","JetPack 7; CUDA 13; TensorRT; Isaac ROS",2999,1KU+ suggested price,unknown,contact distributor,yes,"SRC-robotics-363;SRC-robotics-364","Best same-stack cost-down candidate if 64GB and 70W are sufficient"
NVIDIA Jetson AGX Orin 64GB Developer Kit,developer kit,current-generation robotics edge AI,275,INT8 sparse TOPS,12-core Arm Cortex-A78AE,64GB LPDDR5,204.8,15-60,"CAN; MIPI CSI-2; 10GbE; PCIe; USB","JetPack; CUDA; TensorRT; Isaac ROS",3499,current US MSRP,unknown,out of stock on US marketplace,yes,SRC-robotics-364,"Lowest migration cost for existing Jetson software but substantially less memory and transformer throughput than Thor"
Qualcomm Dragonwing IQ-9075 EVK,evaluation kit,industrial edge AI and AMR,100,INT8 dense TOPS,8-core Kryo up to 2.36GHz,up to 36GB LPDDR5 ECC,unknown,unknown,"up to 16 cameras; industrial peripheral set; expansion boards","Qualcomm Linux; Ubuntu; QNN/AI stack",unknown,contact sales,unknown,available via sales,conditional,"SRC-robotics-368;SRC-robotics-369","10+ year longevity and industrial temperature are strengths; model conversion and CUDA migration are material"
NVIDIA DGX Spark,desktop system,local AI development,1000,FP4 sparse TFLOPS,20-core Arm,128GB coherent LPDDR5X,273,140 chip TDP; 240 PSU,"10GbE; ConnectX-7 200Gbps; USB-C; no native CAN/camera carrier","DGX OS; CUDA; NVIDIA AI stack",4699,current US MSRP,unknown,in stock,conditional,SRC-robotics-372,"Closest CUDA desktop alternative for model development but not a production robot computer"
MINISFORUM MS-S1 MAX 128GB,mini workstation,x86 local AI and engineering workstation,126,total platform TOPS; NPU 50 TOPS,16-core Ryzen AI Max+ 395,128GB LPDDR5X-8000,about 256,60-130,"dual 10GbE; USB4; PCIe x16; no native CAN/GMSL","Windows or Linux; ROCm/DirectML/ONNX depending workload",3639,current vendor sale price,unknown,estimated mid-August shipping,conditional,"SRC-robotics-370;SRC-robotics-371","Strong CPU and x86 compatibility; total TOPS is not comparable to Thor FP4 sparse compute; robotics integration is custom"
Hailo-10H M.2,accelerator module,ultra-low-power inference accelerator,40,INT4 TOPS; 20 INT8 TOPS,host required,4GB or 8GB LPDDR4/4X,unknown,2.5 typical,"host dependent; M.2 PCIe Gen3 x4","HailoRT; model zoo; ONNX/PyTorch conversion",unknown,product inquiry,unknown,contact sales,no,SRC-robotics-373,"Useful only when workloads fit accelerator and host architecture; not a standalone Thor replacement"
Huawei Atlas 200I DK A2,developer kit,China ecosystem low-cost edge inference,8,INT8 TOPS,4-core TaishanV200M,4GB LPDDR4X ECC,25.6,24 typical,"2x MIPI-CSI; 2x GbE; 40-pin; USB; M.2","CANN; AscendCL; Ubuntu 22.04; openEuler",unknown,channel inquiry,unknown,available through China ecosystem,no,SRC-robotics-374,"Materially below Thor class; include only after workload downsizing or distributed architecture"
Horizon Robotics Journey 6P,automotive SoC/solution,ADAS and automotive compute,560,effective TOPS with one-half sparsity,not fully public,not fully public,not fully public,automotive camera and safety interfaces,Horizon BPU toolchain,unknown,OEM/Tier-1 inquiry,unknown,automotive design-ins,no,SRC-robotics-375,"Not a general robotics dev-kit substitute; public price SDK access and non-automotive procurement path are missing"
