source_id,title,url,method,status,raw_path,captured_at,error
SRC-ic-036,NeuRRAM compute-in-memory chip,https://www.nature.com/articles/s41586-022-04992-8,defuddle,ok,raw/integrated-circuits/documents/SRC-ic-036-neurram-compute-in-memory-chip.md,2026-09-21T02:06:23+00:00,
SRC-ic-037,STELLAR fully integrated memristor chip with on-chip learning,https://www.sic.tsinghua.edu.cn/info/1085/1302.htm,defuddle,ok,raw/integrated-circuits/documents/SRC-ic-037-stellar-fully-integrated-memristor-chip-with-on-chip-learning.md,2026-09-21T02:06:23+00:00,
SRC-ic-038,Yizhu all-digital 3D-DRAM CIM tapeout update,https://www.yizhu-tech.com/newsv.php?id=122,defuddle,ok,raw/integrated-circuits/documents/SRC-ic-038-yizhu-all-digital-3d-dram-cim-tapeout-update.md,2026-09-21T02:06:23+00:00,
SRC-ic-039,Yizhu ReRAM POC chip update,https://www.yizhu-tech.com/newsv.php?id=62,defuddle,ok,raw/integrated-circuits/documents/SRC-ic-039-yizhu-reram-poc-chip-update.md,2026-09-21T02:06:23+00:00,
SRC-ic-040,InnoMem RRAM products and company profile,https://www.innomem.cn/,defuddle,fallback_html,raw/integrated-circuits/documents/SRC-ic-040-innomem-rram-products-and-company-profile.md,2026-09-21T02:06:23+00:00,Error: No content could be extracted from https://www.innomem.cn/
SRC-ic-041,Innostar Semiconductor ReRAM business profile,https://www.innostar-semi.com/index.php?c=category&id=2&s=about,defuddle,ok,raw/integrated-circuits/documents/SRC-ic-041-innostar-semiconductor-reram-business-profile.md,2026-09-21T02:06:23+00:00,
SRC-ic-042,TetraMem MLX200 memristor AI accelerator,https://tetramem.com/rebuilding-ai-hardware/,defuddle,fallback_html,raw/integrated-circuits/documents/SRC-ic-042-tetramem-mlx200-memristor-ai-accelerator.md,2026-09-21T02:06:23+00:00,Error: Failed to fetch: 403
SRC-ic-043,TetraMem and SK hynix memristor IMC SoC paper,https://tetramem.com/joint-research-paper-with-sk-hynix-published-a-memristor-based-in-memory-computing-soc-with-efficient-depthwise-convolution/,defuddle,fallback_html,raw/integrated-circuits/documents/SRC-ic-043-tetramem-and-sk-hynix-memristor-imc-soc-paper.md,2026-09-21T02:06:23+00:00,Error: Failed to fetch: 403
SRC-ic-044,IBM analog AI chip for speech recognition and transcription,https://research.ibm.com/publications/an-analog-ai-chip-for-energy-efficient-speech-recognition-and-transcription,defuddle,ok,raw/integrated-circuits/documents/SRC-ic-044-ibm-analog-ai-chip-for-speech-recognition-and-transcription.md,2026-09-21T02:06:23+00:00,
SRC-ic-045,Mixed-precision memristor and SRAM edge AI processor,https://www.nature.com/articles/s41586-025-08639-2,defuddle,ok,raw/integrated-circuits/documents/SRC-ic-045-mixed-precision-memristor-and-sram-edge-ai-processor.md,2026-09-21T02:06:23+00:00,
SRC-ic-046,Samsung MRAM in-memory computing demonstration,https://news.samsung.com/global/samsung-demonstrates-the-worlds-first-mram-based-in-memory-computing,defuddle,ok,raw/integrated-circuits/documents/SRC-ic-046-samsung-mram-in-memory-computing-demonstration.md,2026-09-21T02:06:23+00:00,
SRC-ic-047,Weebit Nano selected for Korean analog CIM program,https://www.weebit-nano.com/news/press-releases/weebit-nanos-reram-selected-for-korean-national-compute-in-memory-program/,defuddle,ok,raw/integrated-circuits/documents/SRC-ic-047-weebit-nano-selected-for-korean-analog-cim-program.md,2026-09-21T02:06:23+00:00,
SRC-ic-048,Shengshi Technology investment in Yizhu,https://static.cninfo.com.cn/finalpage/2024-04-30/1219917825.PDF,pdf-download,failed,raw/integrated-circuits/documents/SRC-ic-048-shengshi-technology-investment-in-yizhu.pdf,2026-09-21T02:06:23+00:00,HTTP Error 403: Forbidden
SRC-ic-049,Biwin investment and commissioned R&D with Zhongke Zhicu,https://dataclouds.cninfo.com.cn/shgonggao/2024/2024-12-24/a7c00cb4c12211ef9710fa163e26e5de.pdf,pdf-download,ok,raw/integrated-circuits/documents/SRC-ic-049-biwin-investment-and-commissioned-r-d-with-zhongke-zhicu.pdf,2026-09-21T02:06:23+00:00,
SRC-ic-050,Challenges for memristive neural network hardware,https://www.nature.com/articles/s41467-022-31598-5,defuddle,ok,raw/integrated-circuits/documents/SRC-ic-050-challenges-for-memristive-neural-network-hardware.md,2026-09-21T02:06:23+00:00,
SRC-ic-051,TSMC artificial-intelligence research publications,https://research.tsmc.com/page/artificial-intelligence/3.html,defuddle,ok,raw/integrated-circuits/documents/SRC-ic-051-tsmc-artificial-intelligence-research-publications.md,2026-09-21T02:06:23+00:00,
SRC-ic-052,Crossbar ReRAM for energy-efficient AI inference,https://www.crossbar-inc.com/assets/resources/white-papers/ReRAM-for-Energy-Efficient-AI-Inference-at-the-Edge.pdf,pdf-download,failed,raw/integrated-circuits/documents/SRC-ic-052-crossbar-reram-for-energy-efficient-ai-inference.pdf,2026-09-21T02:10:21+00:00,HTTP Error 404: Not Found
SRC-ic-053,Rain AI digital in-memory computing approach,https://rain.ai/approach,defuddle,ok,raw/integrated-circuits/documents/SRC-ic-053-rain-ai-digital-in-memory-computing-approach.md,2026-09-21T02:06:23+00:00,
SRC-ic-054,China policy support for compute-in-memory,https://www.miit.gov.cn/xwfb/mtbd/wzbd/art/2025/art_9cd6fc221af642208b25557139dac713.html,defuddle,ok,raw/integrated-circuits/documents/SRC-ic-054-china-policy-support-for-compute-in-memory.md,2026-09-21T02:06:23+00:00,
