project,layer,primary_use,robot_scope,interfaces,public_delivery_status,license_summary,maintenance_signal_as_of_2026_08_06,source_ids,official_url
Unity_Robotics_Hub,tutorial_and_integration_hub,"ROS integration, URDF import, pick-and-place, Nav2/SLAM examples","manipulators and mobile robots","ROS1/ROS2 via TCP, URDF",repository_verified,"Apache-2.0 repository; Unity Editor/runtime and assets separate","2554 stars; last upstream push 2024-11-26; examples target older Unity/ROS versions",SRC-robotics-464,https://github.com/Unity-Technologies/Unity-Robotics-Hub
ROS_TCP_Connector_and_Endpoint,ros_integration,"message generation, pub/sub, services and visualization","custom ROS robots and sensors","TCP bridge for ROS1/ROS2",repository_verified,"Apache-2.0 components; Unity separate","connector pushed 2024-05-10; endpoint pushed 2024-07-10",SRC-robotics-465,https://github.com/Unity-Technologies/ROS-TCP-Connector
URDF_Importer,robot_model_import,"URDF geometry, joints and articulation setup","articulated robots",URDF_and_Unity_ArticulationBody,repository_verified,"Apache-2.0 package; imported meshes/assets retain their terms","333 stars; last upstream push 2023-10-02",SRC-robotics-466,https://github.com/Unity-Technologies/URDF-Importer
Unity_ML_Agents,learning_toolkit,"reinforcement learning, imitation learning, curriculum and multi-agent training","generic embodied agents and custom robots","Python API, Gym, PettingZoo, Unity package",active_repository,"Apache-2.0 toolkit; Unity and environment assets separate","19608 stars; release 23 dated 2025-08-28; develop pushed 2026-07-29",SRC-robotics-467;SRC-robotics-468,https://github.com/Unity-Technologies/ml-agents
Unity_Perception,synthetic_data_toolkit,"RGB and ground truth, domain randomization, dataset generation","camera-centric perception and robot pose estimation",SOLO_COCO_related_outputs,discontinued_repository,"Apache-2.0 package; assets and Unity separate","official README says discontinued and unsupported; last push 2024-11-08",SRC-robotics-469,https://github.com/Unity-Technologies/com.unity.perception
Robotics_Object_Pose_Estimation,end_to_end_tutorial,"synthetic 6D pose data, model training and simulated pick-and-place","UR3-like manipulator",ROS_TCP_URDF_Perception,legacy_example,"Apache-2.0 repository; training assets and Unity separate","346 stars; last push 2022-04-13",SRC-robotics-499,https://github.com/Unity-Technologies/Robotics-Object-Pose-Estimation
ros2_for_unity,ros2_integration,"native high-throughput ROS2 communication","custom robots, sensors and autonomy stacks",ROS2_nodes_pub_sub_services,active_repository,"Apache-2.0; ROS2 binaries and Unity separate","629 stars; pushed 2025-11-24",SRC-robotics-470,https://github.com/RobotecAI/ros2-for-unity
Robotec_GPU_Lidar,sensor_simulation,"GPU ray-traced LiDAR for Unity and AWSIM","autonomous vehicles and mobile robots",C_Cpp_API_and_Unity_plugin,active_repository,"Apache-2.0 core stated in repository files; bundled dependencies/assets require review","289 stars; pushed 2026-03-16",SRC-robotics-471,https://github.com/RobotecAI/RobotecGPULidar
ROS_Sharp,ros_integration,"ROS communication from C#/.NET and Unity, URDF import","custom robots and digital twins",rosbridge_and_CSharp,active_community_repository,"Apache-2.0","1192 stars; pushed 2026-04-28; historical basis for Unity Robotics components",SRC-robotics-472,https://github.com/siemens/ros-sharp
AI2_THOR,embodied_ai_environment,"indoor navigation, object interaction, perception and planning","virtual mobile agents and embodied AI",Python_controller_and_Unity_builds,repository_verified,"Apache-2.0 code; scene/assets distribution separately packaged","1777 stars; pushed 2025-11-04",SRC-robotics-473;SRC-robotics-474,https://github.com/allenai/ai2thor
RoboTHOR,sim_to_real_benchmark,"visual navigation and simulation-to-real evaluation","LoCoBot-like mobile robot",AI2_THOR_API,paper_and_environment_verified,"inherits AI2-THOR delivery; physical challenge access is separate","2020 benchmark; simulation-real gap is an explicit result",SRC-robotics-475,https://ai2thor.allenai.org/robothor
ProcTHOR,procedural_embodied_worlds,"large-scale procedural houses for navigation, rearrangement and manipulation","AI2-THOR agents and arms",Python_generator_and_AI2_THOR,repository_verified,"Apache-2.0 code; Objaverse or other assets retain separate licenses","462 stars; last push 2023-04-07",SRC-robotics-476;SRC-robotics-477,https://github.com/allenai/procthor
Holodeck,language_guided_world_generation,"LLM-generated interactive 3D scenes and navigation training","embodied navigation agents",AI2_THOR_Unity_pipeline,repository_verified,"Apache-2.0 code; generated scene assets inherit upstream asset terms","561 stars; pushed 2025-04-02",SRC-robotics-479;SRC-robotics-480,https://github.com/allenai/Holodeck
ALFRED,vision_language_benchmark,"long-horizon household instruction following and manipulation","AI2-THOR embodied agent",AI2_THOR_and_dataset_tools,repository_verified,"MIT code; dataset and AI2-THOR dependencies separate","527 stars; pushed 2026-02-05",SRC-robotics-481;SRC-robotics-482,https://github.com/askforalfred/alfred
