company,region,company_type,real_human_data,simready_real2sim,synthetic_simulation,training_workflow,evaluation_validation,deployment_feedback,primary_business_model,closest_customer,commercial_evidence,similarity_tier,source_ids,notes
Applied Intuition,美国,企业级物理AI平台,1,1,1,1,1,1,企业软件许可+私有部署+工程服务,汽车与各类移动机器研发团队,具名全球客户与产品矩阵但机器人收入拆分不公开,A,SRC-robotics-394,最接近光轮的平台化商业模式；当前更偏自动驾驶和移动机器
求之科技,中国,具身数据工厂与闭环平台,1,1,1,1,1,1,数采设备+平台+数据服务+训练部署服务,机器人公司与数据工厂建设方,官网有完整产品链但客户订单回款和复购待验证,A,SRC-robotics-400,中国候选中产品覆盖与光轮最接近；可能更硬件和项目制
Parallel Domain,美国,重建与传感器仿真平台,1,1,1,0.5,1,0.5,企业软件/API+仿真资产与服务,自动驾驶无人机机器人感知与验证团队,产品与客户入口明确但价格收入和机器人占比不公开,A,SRC-robotics-396,最接近光轮的Real2Sim和可复用仿真资产路线
Duality AI,美国,数字孪生仿真平台,0.5,1,1,0.5,1,0.5,SaaS/专业版/企业许可+专业服务,机器人自主系统制造与国防团队,公开产品档位和具名客户案例；效果数字为供应商口径,A,SRC-robotics-395,最接近SimReady加合成数据加闭环验证层
极佳视界,中国,世界模型加具身模型加本体全栈公司,1,0.5,1,1,1,1,模型API/授权+软硬一体机器人解决方案,本体厂商工业客户与终端用户,融资和工厂/家庭订单有公开披露但财务及复购未审计,A-,SRC-robotics-401;SRC-robotics-402,解决方案链高度重叠但不是中立基础设施商业模式
51WORLD,中国,数字孪生与合成数据平台,0.5,1,1,0.5,1,0.5,企业平台许可+项目交付+数字孪生服务,城市工业自动驾驶智能装备与机器人客户,官网披露广泛企业应用但51Sim收入拆分和机器人复购不公开,B+,SRC-robotics-403,成熟私营数字孪生公司而非新创业公司；是平台邻近对标
Foretellix,以色列/全球,自动驾驶数据自动化与验证平台,1,0.5,1,0.5,1,1,企业软件许可+验证项目+集成服务,ADAS与自动驾驶安全验证团队,具名行业客户和产品平台可见但具身操作机器人覆盖弱,B+,SRC-robotics-399,评测验证和真实/仿真数据闭环强；垂直在自动驾驶
Scale AI,美国,物理AI真实数据基础设施,1,0,0.5,0.5,1,0.5,数据项目+平台+数据集/评测服务,机器人基础模型与前沿实验室,具名合作方和数据产品可见；原生物理仿真能力不清晰,B,SRC-robotics-397,与EgoSuite和数据治理层竞争；不是完整仿真资产公司
Rendered.ai,美国,合成数据PaaS,0,1,1,0.5,0.5,0,订阅SaaS+企业支持+仿真集成,计算机视觉与传感器模型团队,官网显示订阅PaaS但本次耐久抓取403；机器人客户和收入待验证,B,SRC-robotics-398,合成数据平台商业模式相似但缺真实机器人行为和部署反馈
IO-AI,中国,真实世界具身数据基础设施,1,0,0,0.5,0.5,0.5,遥操作/采集硬件+数据服务+数据管理平台,机器人本体模型科研与先进制造团队,官网称服务160+客户但未披露订单收入毛利和复购,B,SRC-robotics-404,与EgoSuite和数据平台重叠；不覆盖物理仿真资产
NexaStar.AI,中国,真实交互数据与训练平台,1,0,0,1,0.5,0.5,数据中心建设+采集标注+数据交易/订阅+训练服务,地方政府国企机器人团队与研究机构,官网披露产能客户订单及回购模式但缺第三方和审计验证,B-,SRC-robotics-405,商业主张较多且需优先穿透回购渠道关联关系和现金流
具身智境,中国,仿真实施与数据生成公司,0,1,1,0.5,0.5,0.5,项目交付+仿真场景/数据服务,机器人公司与产业仿真项目方,官网可确认定位；客户价格订单复购均待验证,C+,SRC-robotics-406,早期候选；本次自动抓取TLS失败仅保留来源记录
