company,ticker,listing_region,segment,ai_chip_role,main_business,verified_public_relationships,market_cap_usd_billion,one_year_market_cap_change_pct,market_cap_date,market_cap_source,ai_exposure,quality_notes,risk_notes,source_ids,pe_ttm,forward_pe,pe_data_date,pe_source,pe_notes
NVIDIA,NVDA,US,AI accelerator/system,AI GPU and rack-scale AI systems,"Data center GPUs, networking, CUDA/software, AI systems","FY2026 full-year revenue $215.9B; data center Q4 FY2026 revenue $62.3B; public sources identify TSMC wafer/packaging dependence and SK hynix/Micron HBM relationships",4850,46.82,2026-06-10,StockAnalysis,very_high,"财报兑现最强；生态锁定强；估值已包含高增长","客户集中、出口管制、HBM/CoWoS/电力约束、AI capex回撤",SRC-ic-001;SRC-ic-003;SRC-ic-012;SRC-ic-013,30.69,20.17,2026-06-11,StockAnalysis statistics,
AMD,AMD,US,AI accelerator/CPU,Instinct GPUs and EPYC CPUs,"Data center GPUs, CPUs, adaptive SoCs","OpenAI public deal covers up to 6GW AMD Instinct GPUs beginning with MI450; Oracle public reports cite MI450 deployment plan",737.68,312.44,2026-06-10,StockAnalysis,high,"第二供给源逻辑强；份额提升空间大","ROCm生态、毛利、兑现节奏、客户集中",SRC-ic-004;SRC-ic-017,150.86,51.92,2026-06-11,StockAnalysis statistics,
Broadcom,AVGO,US,Custom AI ASIC/networking,Custom AI accelerators and networking,"Custom silicon, Ethernet/switching, connectivity, VMware software","OpenAI and Broadcom announced 10GW custom AI accelerator/rack systems; public filings/earnings discuss unnamed hyperscale AI customers",1770,59.77,2026-06-10,StockAnalysis,very_high,"定制ASIC和AI网络双暴露；客户订单可见度高","客户不完全披露、AI毛利低于非AI、估值敏感",SRC-ic-005;SRC-ic-014,61.93,23.64,2026-06-11,StockAnalysis statistics,
Marvell Technology,MRVL,US,Custom AI ASIC/connectivity,Custom silicon and optical/connectivity,"Data infrastructure semiconductors, custom ASIC, electro-optics","Company/public investor event sources describe AI hyperscale custom silicon and optics opportunities; customers often unnamed",220.97,299.76,2026-06-10,StockAnalysis,high,"云厂商定制芯片和光互连弹性","项目制收入、客户未披露、竞争来自Broadcom",SRC-ic-015,87.25,55.73,2026-06-11,StockAnalysis statistics,
Intel,INTC,US,CPU/foundry/AI accelerator,CPU plus foundry optionality,"Client/server CPUs, foundry, Gaudi accelerators","AI server CPU demand and foundry ambition are public; named advanced AI foundry customer relationships未在本表硬写",537.98,515.13,2026-06-10,StockAnalysis,medium,"美国本土制造和CPU复苏可选项","制程/代工执行、资本开支、AI GPU竞争弱",SRC-ic-016,,101.31,2026-06-11,StockAnalysis statistics,TTM loss so trailing PE is n/a
Qualcomm,QCOM,US,Edge AI SoC,Edge and handset AI chips,"Mobile SoC, modem, automotive/IoT, edge AI","AI exposure mainly through device-side inference and automotive; no major data-center AI accelerator relationship included",201.52,23.49,2026-06-10,StockAnalysis,medium,"边缘AI和手机换机周期","手机周期、Apple modem替代、数据中心暴露有限",SRC-ic-016,20.89,19.57,2026-06-11,StockAnalysis statistics,
Arm Holdings,ARM,US/IP,CPU IP,CPU architecture IP for AI systems,"CPU IP licensing and royalties","Public reports connect Arm server CPU IP to AI infrastructure projects; specific OpenAI CPU claim需继续找原始来源",328.36,131.9,2026-06-10,StockAnalysis,medium_high,"IP平台型，受益于CPU在AI集群中的占比提升","估值、客户自研、RISC-V替代",SRC-ic-016,363.23,141.68,2026-06-11,StockAnalysis statistics,
Taiwan Semiconductor Manufacturing Company,TSM,US ADR/Taiwan,Foundry,Advanced-node foundry and advanced packaging,"Pure-play foundry, 3nm/5nm/7nm, CoWoS/advanced packaging","TSMC Q1 2026 HPC share 61%; public reports cite AMD, Apple, Broadcom, Nvidia as fabless customers",1850,116.56,2026-06-10,StockAnalysis,very_high,"AI芯片制造瓶颈核心；先进节点/封装议价强","台湾地缘、capex周期、客户集中、产能错配",SRC-ic-002;SRC-ic-006;SRC-ic-016,30.95,21.68,2026-06-11,StockAnalysis statistics,
Samsung Electronics,005930.KS,Korea,Memory/foundry,HBM/DRAM/NAND and foundry,"Memory, smartphones, foundry, logic","Public market sources identify Samsung as AI memory participant; Nvidia-specific HBM qualification需逐项验证",1285,353.63,2026-06,CompaniesMarketCap,high,"存储周期与HBM弹性；但AI纯度低于SK hynix/Micron","HBM良率/认证、消费电子拖累、集团折价",SRC-ic-020;SRC-ic-035,52.39,,2026-06,CompaniesMarketCap PE,
SK hynix,000660.KS,Korea,HBM memory,HBM/DRAM for AI accelerators,"DRAM, HBM, NAND","NVIDIA and SK hynix announced multi-year memory co-development/supply agreement; media reports cite Nvidia supplier role",967.76,707.85,2026-06,CompaniesMarketCap,very_high,"HBM直接受益；供需紧张带来价格和利润弹性","存储强周期、客户集中、产能扩张后的价格风险",SRC-ic-012;SRC-ic-020;SRC-ic-035,39.46,,2026-06,CompaniesMarketCap PE,
