project,layer,primary_use,engine_or_renderer,robot_scope,interfaces,physics_role,public_delivery_status,license_summary,commercial_use_signal,maintenance_signal_as_of_2026_08_06,source_ids,official_url
UnrealCV,programmability_and_sensors,"synthetic vision data, scene control, embodied perception",UE4_UE5,"camera agents and custom actors","TCP client, Python, PyTorch integrations",UE_Chaos_or_project_specific,repository_verified,"MIT plugin; UE and scene assets separate",conditional_on_UE_and_assets,"2206 stars; pushed 2026-04-15",SRC-robotics-428;SRC-robotics-429,https://github.com/unrealcv/unrealcv
Gym-UnrealCV,benchmark_wrapper,"visual RL, active tracking, object search, robot-arm example",UE4_via_UnrealCV,"single and multi-agent; limited robot-arm task",OpenAI_Gym_and_UnrealCV,UE_project_specific,repository_verified,"Apache-2.0 wrapper; UE environments separate",conditional_on_environment_assets,"449 stars; pushed 2026-01-15; README recommends UnrealZoo",SRC-robotics-430,https://github.com/zfw1226/gym-unrealcv
Microsoft_AirSim,autonomy_simulator,"UAV and car perception, control, SIL/HIL, data generation",mainly_UE4,"multirotor and cars",RPC;Python;C++;PX4;ArduPilot;ROS_related,built_in_vehicle_models_and_UE,legacy_repository,"MIT code; UE and environment assets separate",conditional,"18368 stars; latest tagged release v1.8.1 in 2022; repo not GitHub-archived",SRC-robotics-431;SRC-robotics-432,https://github.com/microsoft/AirSim
Project_AirSim,autonomy_simulator_framework,"drones, robots and autonomous-system development",UE5,"generic configurable robots; current examples emphasize drones",client_API;custom_physics_controllers_actuators_sensors,modular_external_or_custom,active_successor_repository,"MIT repository; UE and assets separate",conditional,"763 stars; pushed 2026-08-05",SRC-robotics-433,https://github.com/iamaisim/ProjectAirSim
Cosys-AirSim,autonomy_simulator,"industrial autonomy, expanded sensing, ROS2, SIL/HIL",UE5,"drones, cars, boats, walkers and other vehicles",RPC;Python;ROS2;PX4;MAVLink,AirSim_derived_plus_expanded_models,active_fork_repository,"MIT stated by project docs; bundled assets require review",conditional,"404 stars; pushed 2026-07-22",SRC-robotics-434;SRC-robotics-435,https://github.com/Cosys-Lab/Cosys-AirSim
CARLA,road_autonomy_simulator,"autonomous driving, traffic, sensor and scenario validation",UE5_default_branch_and_UE4_parallel,"road vehicles, pedestrians and infrastructure",Python;C++;ROS_bridge_ecosystem,UE_vehicle_and_world_physics,active_mature_repository,"MIT code; CARLA and third-party assets have their own terms",generally_permitted_subject_to_components,"14258 stars; pushed 2026-08-05",SRC-robotics-436;SRC-robotics-437,https://github.com/carla-simulator/carla
CARLA-Air,air_ground_simulator,"air-ground cooperation, urban UAV navigation, VLA and multimodal data",CARLA_UE_process,"UAV plus CARLA ground actors",CARLA_API;AirSim_API;ROS2,shared_UE_tick_plus_AirSim_aerial_dynamics,young_repository_verified,"custom academic and non-commercial license",separate_commercial_license_required,"1061 stars; pushed 2026-07-21",SRC-robotics-438;SRC-robotics-439,https://github.com/louiszengCN/CarlaAir
Unreal_Robotics_Lab,hybrid_robotics_simulator,"photorealistic robot perception, navigation, SLAM and adverse-condition testing",UE5_plus_MuJoCo,"mobile and articulated robots through MuJoCo models",in_process_shared_memory;Python_and_UE_tools,MuJoCo_authoritative,young_repository_verified,"Apache-2.0 framework; UE and assets separate",conditional,"498 stars; pushed 2026-08-05",SRC-robotics-440;SRC-robotics-441,https://github.com/URLab-Sim/UnrealRoboticsLab
SPEAR,general_UE_control_layer,"programmable embodied worlds, sensor data, PCG, multi-agent and co-simulation",UE5,"humans, vehicles, flying and quadruped agents; custom UE actors",Python;shared_memory;UE_reflection;frame_transactions,UE_or_external_MuJoCo,active_repository_verified,"MIT code and CC0 project assets stated; Epic samples separate",conditional,"545 stars; pushed 2026-08-05",SRC-robotics-442;SRC-robotics-443,https://github.com/spear-sim/spear
SimWorld-Robotics,urban_embodied_benchmark,"VLM navigation, multimodal instruction following, multi-robot search",UE5,"urban mobile robots and dynamic human or traffic actors",Gym_like_and_project_APIs,UE_world_physics,research_repository_verified,"MIT repository; packaged UE assets require separate review",conditional,"24 stars; pushed 2026-01-22",SRC-robotics-444;SRC-robotics-445,https://github.com/SCAI-JHU/SimWorld-Robotics
SimWorld_Studio,environment_generation_tool,"coding-agent scene generation, adaptive curricula, embodied learning",UE5_3_3,"embodied navigation agents and extensible actors",coding_agent;UE_bridge;Gym_export;pixel_streaming,UE_world_physics,public_facade_incomplete_source_build,"repository terms and private simworld_arena dependency require review",not_verified_for_commercial_delivery,"public README says source build needs access to separate simworld_arena source",SRC-robotics-461;SRC-robotics-462,https://github.com/SimWorld-AI/SimWorld-Studio
rclUE,ros2_integration,"native ROS2 communication inside Unreal",UE5,"custom robots and sensors",ROS2_pub_sub_services_actions,none_itself,repository_verified,"Apache-2.0 plugin; UE and message dependencies separate",conditional,"195 stars; pushed 2026-01-05",SRC-robotics-446,https://github.com/rapyuta-robotics/rclUE
ROSIntegration,ros_bridge_integration,"ROS messaging between Unreal and robot stacks",UE4_and_limited_UE5_use,"custom robots and sensors",rosbridge;ROS_messages_services,none_itself,repository_verified,"MIT plugin; UE and dependencies separate",conditional,"466 stars; pushed 2025-11-03; historically ROS1-centered",SRC-robotics-447,https://github.com/code-iai/ROSIntegration
UnrealROX,robotic_perception_environment,"synthetic labels, VR teleoperation, grasping and navigation research",UE4_18_era,"indoor robot agents and hands",custom_plugin;VR;offline_replay,UE_physics,historical_repository,"MIT repository; scenes and UE separate",conditional,"99 stars; last code push 2021-04-27",SRC-robotics-448;SRC-robotics-449;SRC-robotics-450,https://github.com/3dperceptionlab/unrealrox
UNav-Sim,underwater_robotics_simulator,"underwater vision, navigation and synthetic data",UE5_plus_AirSim,"AUV or underwater vehicles",Python;ROS;AirSim_derived_interfaces,AirSim_derived_vehicle_model_plus_UE,research_repository_verified,"MIT code; UE and environment assets separate",conditional,"320 stars; pushed 2025-05-02",SRC-robotics-451;SRC-robotics-452,https://github.com/open-airlab/UNav-Sim
HoloOcean,marine_robotics_simulator,"underwater sensing, communications, autonomy and multi-agent experiments",UE4_based,"AUVs and marine agents",Python_package_and_scenarios,custom_underwater_dynamics_plus_UE,package_and_docs_verified,"project is described as open source; UE packages and assets separate",conditional,"official docs current at HoloOcean 2.3.0; GitHub core repo not located in this audit",SRC-robotics-453;SRC-robotics-454,https://byu-holoocean.github.io/holoocean-docs/
NVIDIA_NDDS,synthetic_data_plugin,"RGB, depth, segmentation and 6D pose label generation",UE4,"sensor or camera centric",UE_plugin_and_export_pipeline,none_itself,historical_repository,"CC BY-NC-SA 4.0 repository license; UE EULA compatibility needs legal review",noncommercial_and_sharealike_restrictions,"600 stars; last code push 2020-10-21",SRC-robotics-455,https://github.com/NVIDIA/Dataset_Synthesizer
MATRiX,hybrid_robotics_platform,"quadruped navigation, perception, ROS integration and visual scene testing",UE5_plus_MuJoCo,"quadrupeds and custom robot models",ROS;MuJoCo_UE_bridge;SDK,MuJoCo_authoritative,repository_and_release_audited_elsewhere,"component-level mixed licenses; see dedicated audit",commercial_use_requires_component_review,"v0.1.2 and repository were audited 2026-07-20",SRC-robotics-310;SRC-robotics-311;SRC-robotics-312;SRC-robotics-314;SRC-robotics-315,https://github.com/zsibot/matrix
HERCULES,multi_robot_research_framework,"heterogeneous UAV-UGV SLAM, collaborative perception and exploration",UE5_via_AirSim_and_Cosys_AirSim,"multiple UAVs and UGVs",ROS2;lightweight_APIs;synchronized_sensors,AirSim_and_Cosys_derived,paper_claims_public_code_pending_repo_audit,"license not verified in this audit",not_verified,"2026 paper and project site claim public code and datasets",SRC-robotics-456,https://lunarlab-gatech.github.io/HERCULES-website
HEROES,disaster_robotics_environment,"urban search and rescue, destructible terrain, human and robot training",UE5_Chaos,"mobile and quadruped-like emergency robots",ROSBridge;VR;synthetic_sensor_export,UE_Chaos,paper_and_project_page_only,"code license and complete source delivery not verified",not_verified,"2023 paper; ten-person usability study; repository not audited",SRC-robotics-457,https://ideas.cs.purdue.edu/research/HEROES
