source_id,title,year,source_type,organization_or_authors,url,evidence_grade,asset_type,relevance_to_failure_intervention_data,key_evidence,notes
FID-001,RoboMIND: Benchmark on Multi-embodiment Intelligence Normative Data for Robot Manipulation,2024,paper,"Wu et al.",https://arxiv.org/abs/2412.13877,S,dataset,"Direct evidence that large embodied datasets are starting to keep explicit failure demonstrations.","107k teleoperation trajectories; includes 5k real-world failure demonstrations with detailed causes for failure reflection and correction.","Important China-linked dataset; verify released failure labels in downloadable files."
FID-002,Oopsie Data,2026,project,"Oopsie Data contributors",https://oopsie-data.com/,S,tooling_dataset,"Direct evidence of a multi-lab effort dedicated to collecting manipulation failures.","Frames failures as useful for offline RL, policy steering, failure prediction, bottleneck recognition, and human-intervention requests.","Early-stage public project; dataset scale and release timing need tracking."
FID-003,Oopsie Quickstart Guide,2026,documentation,"Oopsie Data contributors",https://oopsie-data.com/quickstart/,S,collection_protocol,"Shows an explicit workflow for recording successes and failures and annotating each failed trajectory.","Supports in-the-loop collection, bulk collection, custom conversion, annotation, validation, and upload.","Useful as SOP reference for a domestic failure-data service."
FID-004,Oopsie Dataset Format,2026,documentation,"Oopsie Data contributors",https://oopsie-data.com/format/,S,schema,"Concrete schema for success/failure labels and failure taxonomy.","HDF5 per episode; episode annotations include success, failure_description, taxonomy, severity, observations, states, and actions; export planned to RLDS/LeRobot.","Good schema baseline for raw-to-trainable conversion."
FID-005,Human-In-the-Loop Data Collection,2026,documentation,Hugging Face LeRobot,https://github.com/huggingface/lerobot/blob/main/docs/source/hil_data_collection.mdx,S,tooling_protocol,"LeRobot has first-class HIL/DAgger collection support for intervention data.","Records autonomous segments plus recovery/correction movements; fine-tunes on combined demonstration and HIL data; supports repeated deploy-collect-fine-tune loops.","Strong signal that open-source tooling is moving from success-only BC to intervention datasets."
FID-006,LeRobot GitHub Repository,2026,open_source_tooling,Hugging Face,https://github.com/huggingface/lerobot,S,tooling_format,"LeRobot standardizes dataset storage and training but normal datasets are not necessarily failure-aware.","LeRobotDataset uses synchronized MP4/images, Parquet state/action data, and HF Hub hosting; HIL is a separate workflow.","Use as export target, not as proof that all LeRobot datasets preserve failures."
FID-007,A Reduction of Imitation Learning and Structured Prediction to No-Regret Online Learning,2011,paper,"Ross, Gordon, Bagnell",https://arxiv.org/abs/1011.0686,S,method,"Foundational DAgger method motivating on-policy correction data.","Addresses compounding errors by iteratively training on the distribution of observations induced by the learner.","Conceptual root for intervention-data value."
FID-008,HG-DAgger: Interactive Imitation Learning with Human Experts,2018,paper,"Kelly et al.",https://arxiv.org/abs/1810.02890,S,method,"Shows why human-gated intervention is safer and more practical than labeling every learner state.","Human expert takes control when needed; evaluated on simulated and real autonomous driving; improves over DAgger and BC.","Important bridge from AV takeover data to robot intervention data."
FID-009,Precise and Dexterous Robotic Manipulation via Human-in-the-Loop Reinforcement Learning,2024,paper,"Luo et al.",https://arxiv.org/abs/2410.21845,S,method_system,"Evidence that human corrections plus online RL can materially improve real robot manipulation.","Combines demonstrations and human corrections; reaches near-perfect success rates in 1 to 2.5 hours; reports 2x success-rate improvement and 1.8x faster execution over baselines.","HIL-SERL also collects positive/negative samples for reward classifier."
FID-010,HIL-SERL Project Page,2024,project,"UC Berkeley RAIL",https://hil-serl.github.io/,S,method_system,"Operational description of positive/negative samples and interventions.","Teleoperate to collect positive and negative samples; use binary classifier as sparse reward; provide interventions during online training.","Good for how-to-use section."
FID-011,RaC: Robot Learning for Long-Horizon Tasks by Scaling Recovery and Correction,2025,paper,"Hu et al.",https://arxiv.org/abs/2509.07953,S,method,"Strong evidence that recovery/correction is its own data composition beyond expert demos.","Human intervenes when failure appears imminent, rewinds to a familiar state, then provides corrective segment; outperforms prior SOTA using 10x less data collection time and samples.","Recent work; track code/data release and independent reproduction."
FID-012,pi*0.6: a VLA That Learns From Experience,2025,paper,Physical Intelligence,https://arxiv.org/abs/2511.14759,S,method_vla,"Evidence that VLA post-training uses demonstrations, on-policy experience, and expert interventions.","RECAP uses heterogeneous data including demonstrations, on-policy collection, and expert teleoperated interventions during autonomous execution.","Recent proprietary-lab work; public details are useful for direction but commercial data asset remains opaque."
