check_id,acceptance_layer,scope,requirement_type,severity,check,pass_criterion,evidence,owner
SR-000,Contract,all,project,MUST,Asset identity frozen,"asset_id, version, source hash, owner, license and intended use are recorded",asset manifest,asset owner
SR-001,Contract,all,official-plus-project,MUST,Profile selected and pinned,"one applicable SimReady profile name and exact version are declared; target runtime is named",acceptance contract and USD metadata,pipeline owner
SR-002,Contract,all,project,MUST,Task consumers declared,"visualization, perception, navigation, grasping, manipulation or control consumers and their acceptance metrics are named",acceptance contract,product or simulation owner
SR-010,Specification,all,official,MUST,Validator executes reproducibly,"simready-validate runs in a pinned environment against the declared profile and asset",command log and environment lockfile,pipeline engineer
SR-011,Specification,all,official,MUST,Profile validation passes,"zero failed requirements in the selected profile; any failed requirement fails its feature and profile",validator JSON and exit code,pipeline engineer
SR-012,Specification,all,official,MUST,MUST requirements pass,"all MUST requirements pass with no waiver",validator JSON,pipeline engineer
SR-013,Specification,all,official,MUST,SHOULD deviations controlled,"every unmet SHOULD has an owner, written justification, impact analysis and expiry or remediation date",deviation register,asset review board
SR-014,Specification,all,official,MUST,Validation metadata stamped,"profile, profile_version, validation date and passed feature history are written to SimReady_Metadata",USD customLayerData diff,pipeline engineer
SR-015,Specification,all,project,MUST,Validation artifacts retained,"validator JSON, tool/spec/profile versions, command, asset hash and logs are immutable and linked to the release",evidence bundle,release owner
SR-020,Package,all,official-plus-project,MUST,USD package resolves,"default prim, references, payloads, variants, textures and other dependencies resolve in a clean environment",dependency scan and clean-load log,technical artist
SR-021,Package,all,official-plus-project,MUST,Units and axes declared,"metersPerUnit, kilogramsPerUnit where applicable, timeCodesPerSecond and upAxis are explicit and match the acceptance contract",USD inspection report,pipeline engineer
SR-022,Package,all,project,MUST,Lineage and license complete,"source files, capture or CAD versions, conversion recipe, authoring tools and redistribution rights are traceable",manifest and license ledger,asset owner
SR-023,Package,all,project,SHOULD,Canonical and adapters separated,"runtime-specific overrides are isolated from the canonical neutral asset and can be regenerated",layer tree and reproducible build,pipeline owner
SR-030,Visual,all,official-plus-project,MUST,Visual geometry valid,"required geometry, normals, UVs, LOD or proxy variants and material bindings pass the selected profile and project lint",validator JSON and geometry QA report,technical artist
SR-031,Visual,all,official-plus-project,MUST,Textures and materials valid,"texture paths, color spaces and size limits pass the profile; no missing or unintended fallback material",validator JSON and render inspection,technical artist
SR-032,Visual,task-relevant,project,MUST,Metric geometry within tolerance,"key dimensions and point-to-surface error meet task-specific thresholds frozen before production",measurement comparison report,metrology owner
SR-040,Physics,rigid or interactive,official,MUST,Collision APIs present and valid,"every required rigid shape has valid collision representation required by the selected profile",validator JSON and collider visualization,simulation engineer
SR-041,Physics,rigid or interactive,official-plus-project,MUST,Mass properties valid,"mass, center of mass and inertia are present or validly derived; values are finite, positive where required and physically plausible",validator JSON and inertia visualization,simulation engineer
SR-042,Physics,rigid or interactive,project,MUST,Collider task fidelity,"collision envelope preserves task-critical gaps, handles, contact faces and support surfaces while meeting contact-count and performance budgets",geometry comparison and contact benchmark,simulation engineer
SR-043,Physics,rigid or interactive,project,MUST,Physical materials calibrated,"friction, restitution, damping and other active material parameters are measured, bounded or explicitly randomized with provenance",measurement or parameter ledger,simulation engineer
SR-044,Physics,rigid or interactive,project,MUST,Physics sanity tests pass,"rest stability, drop, incline, push or grasp-slip tests match frozen tolerances without persistent penetration, explosion or unbounded jitter",runtime test report,simulation engineer
SR-050,Articulation,robot or articulated prop,official,MUST,Hierarchy and articulation valid,"one intended articulation structure is present; body and joint graph has no unintended cycles or disconnected simulated parts",validator JSON and hierarchy visualization,robotics engineer
SR-051,Articulation,robot or articulated prop,official-plus-project,MUST,Joint frames and limits correct,"joint type, parent-child frames, axes, limits and initial positions match CAD, URDF or measured ground truth",joint comparison report,robotics engineer
SR-052,Articulation,driven robot,official-plus-project,MUST,Drives and dynamics valid,"driven joints have intended drive mode, target, stiffness, damping, effort and velocity limits for the target runtime",validator JSON and drive sweep test,controls engineer
SR-053,Articulation,robot or articulated prop,project,MUST,Motion sweep passes,"full permitted joint sweep completes without unintended collision, discontinuity, instability or geometry detachment",automated sweep log and video,robotics engineer
SR-060,Semantics,perception or synthetic data,official-plus-project,MUST,Semantic profile explicitly extended,"semantic-label features are included in the selected or custom profile; labels are not assumed merely because a base prop or robot profile passes",profile diff and validator JSON,data owner
SR-061,Semantics,perception or synthetic data,project,MUST,Labels match ontology,"class, instance, part, affordance, receptacle and state labels required by consumers are complete, unique and schema-valid",ontology lint and sample annotations,data owner
SR-062,Sensor,perception or synthetic data,project,MUST,Sensor materials validated,"active RGB, depth, LiDAR, radar or other response parameters are present and calibrated or randomized within documented bounds",sensor comparison report,sensor simulation owner
SR-070,Runtime,all,project,MUST,Clean runtime load passes,"asset loads in every declared target runtime from a clean cache with no missing dependencies or fatal errors",runtime logs,integration engineer
SR-071,Runtime,all,project,MUST,Warnings dispositioned,"all runtime warnings are either fixed or linked to an approved deviation; no unknown warnings remain",warning ledger,integration engineer
SR-072,Runtime,all,project,MUST,Performance budget met,"load time, RAM or VRAM, render throughput, physics step rate and contact counts meet the frozen deployment budget",performance report,performance owner
SR-073,Runtime,physics or training,project,MUST,Repeatability or determinism meets contract,"repeated runs under fixed seed and environment remain within defined state and metric tolerances",repeat-run diff report,simulation engineer
SR-074,Runtime,multiple runtimes,project,MUST,Adapter regression passes,"canonical asset remains unchanged and each runtime adapter passes its own load, physics and task regression",adapter build hashes and test matrix,pipeline owner
SR-080,Task,perception,project,MUST,Real holdout perception gate,"synthetic or simulated data meets the predeclared KPI on held-out real data versus the agreed baseline",real-holdout A B report,ML owner
SR-081,Task,navigation,project,MUST,Navigation gate,"collision, traversability and sensor scene support the declared planner or policy success, safety and performance thresholds",closed-loop navigation report,navigation owner
SR-082,Task,manipulation,project,MUST,Manipulation gate,"grasp, open, place, insert or other target task meets declared success, slip, contact and intervention thresholds in simulation and the required real holdout",sim and real closed-loop report,manipulation owner
SR-083,Task,all,project,MUST,Failure taxonomy reviewed,"asset-induced failures are separated from controller, policy, sensor and simulator failures; unresolved critical asset failures are zero",failure review,task owner
SR-090,Release,all,project,MUST,Regression suite green,"profile validation, package lint, runtime smoke tests and applicable task tests pass on the exact release hash",CI report,release owner
SR-091,Release,all,project,MUST,Evidence bundle complete,"manifest, canonical asset, adapters, validator JSON, stamps, measurements, deviations, test reports and hashes are linked",release evidence index,release owner
