year,title,venue_or_status,application_area,project_or_artifact,open_code_status_in_this_review,source_id,url
2017,AI2-THOR An Interactive 3D Environment for Visual AI,arXiv_preprint,"indoor navigation, interaction and visual intelligence",AI2_THOR,repository_verified,SRC-robotics-474,https://arxiv.org/abs/1712.05474
2018,Unity A General Platform for Intelligent Agents,arXiv_preprint,"general learning environments, RL, imitation and multi-agent research",Unity_ML_Agents,repository_verified,SRC-robotics-468,https://arxiv.org/abs/1809.02627
2018,VirtualHome Simulating Household Activities via Programs,CVPR_2018,"household activity programs, language grounding and synthetic video",VirtualHome,repository_verified,SRC-robotics-486,https://arxiv.org/abs/1806.07011
2019,VRKitchen an Interactive 3D Virtual Environment for Task-oriented Learning,arXiv_preprint,"fine-grained kitchen manipulation and learning from demonstration",VRKitchen,repository_verified_license_pending,SRC-robotics-488,https://arxiv.org/abs/1903.05757
2019,ALFRED A Benchmark for Interpreting Grounded Instructions for Everyday Tasks,CVPR_2020,"vision-language long-horizon household tasks",ALFRED,repository_verified,SRC-robotics-482,https://arxiv.org/abs/1912.01734
2020,RoboTHOR An Open Simulation-to-Real Embodied AI Platform,CVPR_2020,"visual navigation and paired simulation-to-real evaluation",RoboTHOR,environment_and_paper_verified,SRC-robotics-475,https://arxiv.org/abs/2004.06799
2020,Flightmare A Flexible Quadrotor Simulator,CoRL_2020,"quadrotor control, planning, RL and perception",Flightmare,repository_verified,SRC-robotics-492,https://arxiv.org/abs/2009.00563
2020,LGSVL Simulator A High Fidelity Simulator for Autonomous Driving,ITSC_2020,"Autoware/Apollo full-stack autonomous driving",SVL_Simulator,sunset_repository_verified,SRC-robotics-495,https://arxiv.org/abs/2005.03778
2021,ManipulaTHOR A Framework for Visual Object Manipulation,CVPR_2021,"mobile manipulation and ArmPointNav",ManipulaTHOR_AI2_THOR,framework_in_AI2_THOR_ecosystem,SRC-robotics-478,https://arxiv.org/abs/2104.11213
2021,ThreeDWorld A Platform for Interactive Multi-Modal Physical Simulation,NeurIPS_2021,"multimodal physics, agents, audio, deformables and VR",TDW,repository_verified_LTS,SRC-robotics-490,https://arxiv.org/abs/2007.04954
2021,TEACh Task-driven Embodied Agents that Chat,AAAI_2022,"dialogue-grounded household task execution",TEACh,repository_verified_license_pending,SRC-robotics-484,https://arxiv.org/abs/2110.00534
2022,ProcTHOR Large-Scale Embodied AI Using Procedural Generation,NeurIPS_2022,"procedural houses, navigation, rearrangement and manipulation",ProcTHOR,repository_verified,SRC-robotics-477,https://arxiv.org/abs/2206.06994
2022,AutoDRIVE A Comprehensive Flexible and Integrated Digital Twin Ecosystem,Robotics_2023,"autonomous driving, HIL, education and smart infrastructure",AutoDRIVE,repository_verified,SRC-robotics-497,https://arxiv.org/abs/2212.05241
2023,Holodeck Language Guided Generation of 3D Embodied AI Environments,CVPR_2024,"LLM-guided interactive scene generation and navigation training",Holodeck,repository_verified,SRC-robotics-480,https://arxiv.org/abs/2312.09067
2025,D-AWSIM Distributed Autonomous Driving Simulator for Dynamic Map Generation Framework,arXiv_preprint,"distributed traffic and infrastructure LiDAR simulation",D_AWSIM_on_AWSIM,code_status_not_audited,SRC-robotics-500,https://arxiv.org/abs/2511.09080
2026,DMAVA Distributed Multi-Autonomous Vehicle Architecture Using Autoware,arXiv_preprint,"multi-host multi-vehicle closed-loop simulation with AWSIM and Zenoh",DMAVA_on_AWSIM_Labs,repository_claimed_not_audited,SRC-robotics-501,https://arxiv.org/abs/2601.16336
