company,slug,entity_or主体,financing_or_capital_status,customers_or_partners,data_solution,data_modalities,formats_and_compatibility,lerobot_support,open_x_embodiment_support,case_video_or_demo,data_samples_or_open_dataset,verification_level,key_gaps,source_urls
智元机器人,agibot,"智元创新（上海）科技有限公司；上市公司公告披露成立日期 2023-02-27，注册地址上海浦东，经营范围含人工智能公共数据平台/基础资源平台等","多轮融资；公开公告显示高瓴、腾讯、比亚迪等在前十名股东名单中；媒体另披露京东/上海具身智能基金等增资线索，需以工商变更或公司公告继续核验","未公开把 AgiBot World 作为 ToB 数据服务客户；官网披露上海数采中心地址；数据集面向全球研究者/开发者开放","AGIBOT WORLD 2026；DaaS 工业质检流水线；真实场景采集+数字孪生仿真同步开源","多视角 RGB(D)、触觉、LiDAR 点云、IMU、全身关节状态、力传感器、任务/步骤/原子技能/2D框等层级标注、错误修正轨迹","Hugging Face 数据集文档显示遵循 LeRobot v2.1 目录结构，包含 episodes.jsonl/info.json/tasks.jsonl/Parquet feature schema 等；自有 h5_path 等扩展字段","明确支持","未见官方直接声明支持 OXE；可作为 Open X-Embodiment 同类真实机器人轨迹数据源横向对比","官网文章含图片演示；Hugging Face 有 dataset preview；真实视频需进一步下载或查看项目主页","AgiBotWorld2026 已在 Hugging Face 开源；官方称分五阶段持续开源，第一期为模仿学习主题","高","需核验数据许可、下载规模、商业客户、是否提供付费 DaaS/采集服务，以及开放集与内部训练集差异","https://www.agibot.com.cn/article/315/detail/148.html; https://huggingface.co/datasets/agibot-world/AgiBotWorld2026; https://static.cninfo.com.cn/finalpage/2025-10-09/1224703664.PDF"
宇树科技,unitree,"宇树科技股份有限公司；科创板 IPO 申请已受理，招股/问询文件披露主体、业务、客户与研发情况","IPO 申请拟募资约 42 亿元；媒体基于申报材料披露投后估值约 127 亿元，股东包括美团系、红杉、经纬、顺为/小米、腾讯、阿里、蚂蚁等","招股材料披露全球已有 80 余家知名科技企业、科研机构基于其机器人产品开展具身智能科研与场景化应用；G1-D 产品页未列具体数据平台客户","G1-D End-to-End Platform；采集、处理、标注、审核、资产管理、训练、仿真测试、模型导出部署；UnifoLM-WMA-0 世界模型-动作框架","头部双目相机、腕部高清相机、LiDAR、深度相机、碰撞/低障碍传感器、机器人状态/末端执行器/动作等；产品页还强调 MoCap 数据和合成数据平台","产品页称可直接输出或转换为主流训练格式，深度集成 PI 和 GROOT 等开源模型；未公开具体 LeRobot schema","待验证；产品页未点名 LeRobot","待验证；未见 OXE 兼容声明","G1-D 官网有多张平台截图和 UnifoLM-WMA-0 mp4 演示；官网首页有大量公开案例视频","未见公开数据集下载；更像随硬件/平台交付的私有训练数据流水线","高","需核验导出格式清单、是否支持 LeRobot/HDF5/MCAP、客户购买方式、平台是否已交付、是否开放 SDK/API","https://www.unitree.com/G1-D/; https://static.sse.com.cn/stock/disclosure/announcement/c/202603/002178_20260320_OE27.pdf"
艾欧智能,io-ai,"艾欧智能/IO-AI；官网页脚显示深圳市光明区地址和粤 ICP；官网称成立于 2023 年","未找到官方融资轮次披露；已与腾讯云达成战略合作；加入 Maniformer 蜂巢数据共创行动","官网客户 logo 包括智元、逐际动力、睿尔曼、比亚迪、中国移动、字节跳动、天工、清华、中山大学、蚂蚁灵波等；腾讯云合作文称已有超 50 万条开源数据/覆盖数十场景和数百对象","TeleXperience 遥操作、SenseXperience 人体动作采集、EmbodiFlow 数据标注管理平台、ROSView/LeRobot Studio 工具","机器人遥操作数据、第一视角/腕部/UMI 风格人体数据、图像、音频、IMU、触觉、动捕、多机器人多传感器数据","EmbodiFlow 支持 ROS1/ROS2/LeRobot/自定义格式，导出 LeRobot/HDF5/MCAP；文档页称数据可用于 Pi0、SmolVLA、ACT 等模型训练","明确支持；还发布 LeRobot Studio","未见 OXE 直接支持；因支持 ROS/LeRobot，可作为格式转换入口，但 OXE/RLDS 需验证","官网有乐聚、智元 X2、逐际 TRON 2、灵巧手适配等应用案例视频封面；腾讯云合作也提到 ICRA 跨国遥操作获奖案例","公开数据集具体下载入口未在官网首页列出；腾讯云文称 50 万条开源数据，需定位仓库或数据门户","高","需核验融资、合同客户真实性/范围、开源数据具体地址、价格/交付方式、与 telexdata.com 关系","https://io-ai.tech/; https://io-ai.tech/zh/embodiflow/; https://io-ai.tech/platform/guides/; https://io-ai.tech/zh/telexperience/; https://io-ai.tech/zh/sensexperience/; https://developer.cloud.tencent.com/article/2635361"
感进机器人 Robotin,robotin,"感进机器人（深圳）有限公司；官网披露深圳龙华区地址、邮箱 data@robotin.com","未找到可靠融资公开披露；innoHere 有公司页但完整融资历史需登录或进一步工商核验","官网仅称“深受行业顶尖团队信赖”，未列客户名称或 logo 文本","具身智能数据引擎；家庭乱序/杂乱场景数据；具身智能数据与训练；数据集解决方案；定制化采集与训练","多模态真机采集、复杂物理环境视觉感知、专家示教、多视角感知、机器人本体数据、穿戴式灵巧手套/夹爪动作轨迹和交互状态","官网称可根据客户硬件本体进行数据格式定制与对齐；未公开标准格式清单","待验证；未见 LeRobot 声明","待验证","官网含数据/操作采集图片 carousel；未见可直接播放的视频或公开案例视频","未见公开样例下载；官网称提供开箱即用高质量真机训练集","中","需核验主体工商、融资、客户、真实样例、数据格式、是否已有机器人客户交付","https://robotin.cc/; https://www.innohere.com/ir/159565/core.html"
第一推力 FirstMove,firstmove,"官网品牌 FirstMoveAI；中文站未清晰披露工商主体/地址/ICP，需工商和招聘核验","未找到可靠融资公开披露","官网文案面向云 AI 平台和机器人本体厂；未列客户或合作伙伴","Egocentric Data Engine for Robotics；无本体/第一视角真实交互数据；持续获取稀缺数据并优化模型能力","第一视角视频、人类真实场景物体交互、可能包含触摸/动作轨迹；具体传感器/动作表示未披露","未披露；从“egocentric/no-embodiment”到机器人 action 的映射方案需技术核验","待验证","待验证","官网为 JS-only；搜索摘要可见定位，raw HTML 只有 meta；未确认案例视频","未见公开样例或数据集","低-中","优先核验工商主体、团队、融资、客户、采集设备、可训练格式、是否已有标注/后处理管线","https://cn.thefirstmove.ai/; https://thefirstmove.ai/"
星海图 Galaxea,galaxea,"星海图（北京）人工智能科技股份有限公司；官网披露成立于 2023-09","官网披露 2025 年 2 月 A 轮近 3 亿元，累计近 1 亿美元；Forbes China 2026 年报道 10 亿元 B 轮，媒体口径需以公司公告/工商进一步核验","官网称服务全球近百家顶尖具身智能客户，客户 logo/文本包括斯坦福、Physical Intelligence、英伟达、蚂蚁、华为云、大众、海尔、三星、清华、浙大等；数据采集是客户需求之一","R1/R1 Pro 机器人、G0 VLA、Galaxea Open-World Dataset；整机+基础模型+数据采集支撑","移动操作真实世界数据；Hugging Face 数据集 schema 包含头部/头右/左右腕部 RGB 视频、左右臂/躯干/底盘/IMU/夹爪/末端位姿状态与动作、任务/质量元数据","Hugging Face 数据集明确给出 LeRobot Dataset Schema；GitHub 称 LeRobot format dataset available；视频 AV1 15fps","明确支持","未见直接支持 OXE；论文/社区常与 Open X-Embodiment 对比","官网有客户/产品展示；GitHub/HF 有公开模型和数据；需补实际任务视频链接","OpenGalaxea/Galaxea-Open-World-Dataset 在 Hugging Face；GitHub OpenGalaxea/GalaxeaVLA","高","需核验 B 轮官方公告、数据许可、下载可用性、商业客户中哪些购买数据采集服务","https://galaxea-ai.com/cn/about; https://huggingface.co/datasets/OpenGalaxea/Galaxea-Open-World-Dataset; https://github.com/OpenGalaxea/GalaxeaVLA; https://www.forbeschina.com/fga/71114"
灵初智能 PsiBot,psibot,"灵初智能/PsiBot；官网与产品页披露上海徐汇地址、market@psirobot.ai","官网新闻称入选创业邦未来独角兽等；未在官方产品页找到具体融资金额；需工商/融资库核验","未见数据服务客户清单；作为智域基石投资方之一的媒体线索需二次核验","Psi Data；结合自研外骨骼设备的灵巧操作真机数采；自建数据采集场","灵巧操作真机数据、外骨骼采集、采集与标注人效指标；官网称人效 >500 条/天并持续提升","未公开标准导出格式；未见 LeRobot/HDF5/MCAP 明确说明","待验证","待验证","官网产品页有图；未见公开案例视频链接","新浪报道提到 SynData 数据集冲上 HF Trending，但需定位官方数据集页","中","需核验融资、客户、SynData 官方地址、数据格式与许可、外骨骼硬件交付形态","https://www.psibot.ai/products_zh/product_psi-data_zh/; https://www.psibot.net/products/product_psi-data; https://www.psibot.net/"
简智新创 GenRobot,genrobot,"简智新创（北京）机器人科技有限公司；官网披露北京海淀地址、电话和邮箱 bdmarket@genrobot.ai","未找到可靠融资公开披露","未列客户名称；官网面向项目合作与分级数据服务","DAS Ego/Dex/Fingers/Gripper/Controller；Gen EgoData；Gen Matrix 数据治理平台；分级 DaaS 服务","第一视角 human-centric 多模态数据；高精度图像、语音、触觉、运动信息、磁编码器、IMU、轨迹、环境重建、深度、标注、3D/2D 分割与边界框","未公开 LeRobot/HDF5/MCAP 等标准格式；官网称从原始数据到 AI-ready 数据集","待验证","待验证","官网有“观看视频/点击播放视频”入口，需浏览器实测视频资源","官网披露 50+ 应用场景、10000+ 小时、100TB+ 数据量；未见公开下载","中","需核验数据资产真实性、客户、格式、融资、是否有样例数据可评估","https://cn.genrobot.com/"
禹纲数据,dayudata,"禹纲数据；官网披露服务 AI 机器人数据，主体与地址需继续核验","未找到可靠融资公开披露","未见客户清单","面向机器人和大模型的数据标注/数据痛点解决方案；依托自研具身机器人场景 AI 辅助模型提升标注","具体机器人模态未充分披露；官网强调场景数据和标注","未公开格式","待验证","待验证","官网截图/产品页可作为初步线索；未见案例视频","未见公开样例","低-中","需核验主体、融资、机器人数据客户、模态、格式与交付案例","https://www.dayudata.cn/"
穹彻智能 Noematrix,noematrix,"穹彻智能；官网披露沪 ICP、业务邮箱 business@noematrix.cn","官网披露 2026-02 数亿元 A 轮、2025-10 阿里投资等新闻","未在首页列客户；应用场景包括物流分拣、家庭服务、科研教育、食品加工等","Noematrix Toolchain；CoMiner 伴随式数据采集套件；具身数据管理、模型训练、功能部署闭环","官网未展开模态细节；定位为工具链而非纯数据外包","未公开格式","待验证","待验证","官网有产品和应用图；未见公开数据案例视频","未见公开数据集","中","需打开 CoMiner/Toolchain 子页核验采集套件、格式、客户与 API","https://www.noematrix.ai/"
