company,slug,region,type,role_in_data_stack,representative_solution,data_modalities,collection_route,processing_capabilities,china_relevance,status,source_ids,notes
智元机器人,agibot,China,整机厂/数据平台,真实机器人数据生产与开放数据集,AgiBot World / AGIBOT WORLD 2026 / AIDEA 线索,"RGB(D), tactile, LiDAR, IMU, joint states, language/task labels, failure trajectories",同构真机采集+人机协同校验,"清洗、验证、层级标注、开放数据集/工具/模型",国内最清晰的百万级真机轨迹和数据平台样本之一,重点跟踪,SRC-robotics-044;SRC-robotics-058,"官方披露 AGIBOT WORLD 2026 分阶段发布；论文披露 AgiBot World 超 100 万轨迹。"
宇树科技,unitree,China,整机厂/数采训练平台,人形机器人数据采集、训练与部署平台,G1-D End-to-End Platform / UnifoLM-WMA-0,"camera, robot state, action, end-effector data, simulated feedback",轮式人形平台采集+多本体数据标准化+仿真评估,"任务创建、采集标注、审核上传、存储导出、训练监控、模型部署",将数采训练平台产品化，有助于科研/开发者生态,重点跟踪,SRC-robotics-014,"已有来源表收录；本表按数据专题重用。"
艾欧智能,io-ai,China/global,数据基础设施公司,遥操作、人体数据采集、数据标注与后处理,TeleXperience / SenseXperience / EmbodiFlow,"multi-camera video, proprioception, human motion, dexterous hand signals, multimodal labels",遥操作+人体运动捕捉+客户本体适配,"采集、标注、可视化、质量保障、后处理、LeRobot 等格式导出",深圳团队，客户/案例覆盖国内外机器人公司，适合跟踪数据外包与工具链,SRC-robotics-046,"官网列出 TeleXperience、SenseXperience、EmbodiFlow 三类产品。"
感进机器人 Robotin,robotin,China,数据服务/全栈方案,底层训练数据与真实物理交互数据服务,Robotin 具身智能数据平台,"visual perception, grasp/manipulation, wearable glove data, robot embodiment data",真实家庭/杂乱场景采集+穿戴式灵巧手套/夹爪,"定制数据方案、硬件本体格式对齐、视觉与操作数据集",代表新兴垂直数据服务商，商业真实性需继续验证,观察,SRC-robotics-047,"官网强调真实杂乱家庭场景和专业级物理操作采集。"
第一推力 FirstMove,firstmove,China,数据基础设施公司,无本体/第一视角物理交互数据引擎,Egocentric Data Engine for Robotics,"egocentric video, human-object interaction, touch/action traces",无本体人类真实场景采集,"将人类触摸、动作、交互转化为机器人学习数据；具体格式待验证",切入“真实物理世界交互语料”稀缺环节,观察,SRC-robotics-048,"官网为 JS 页面，当前以搜索摘要和官网域名作初步线索，需后续交叉验证团队、客户和样例数据。"
北京智源/ModelScope RoboBoxStudio,baai-roboxstudio,China,开源平台/研究机构,数据集聚合、统一格式处理、模型开发验证,智源具身一站式平台 / RoboBrain / RoboOS 生态,"Open X-Embodiment, RoboMIND, DROID, AgiBot, OpenLoong and related robot datasets",开放数据集聚合+标准化处理,"统一标准格式、数据集下载/训练入口、模型与 benchmark 生态",对中国开源具身生态和人才培养重要,重点跟踪,SRC-robotics-049;SRC-robotics-063,"适合作为国内开源数据入口，但平台条目需要持续核验版本变化。"
星海图 Galaxea,galaxea,China,整机+基础模型+数据采集,客户算法开发、场景落地和数据采集支撑,R1 系列/具身智能应用生态,"robot observations, actions, scenario data",自有本体+客户项目+数据采集服务,"未公开完整处理栈，需跟踪开源数据集和客户案例",已披露服务客户包括高校、创业公司、科技企业与国家实验室,重点跟踪,SRC-robotics-050,"官网披露客户需求覆盖算法开发、场景落地、数据采集三类。"
NVIDIA,nvidia,Global,算力/仿真/基础模型平台,合成轨迹生成、仿真、机器人基础模型训练,Isaac Sim / Isaac Lab / Isaac GR00T / GR00T-Dreams / Cosmos,"human demos, robot trajectories, simulated trajectories, synthetic videos/actions",少量真实示教+世界模型生成+仿真评估,"合成轨迹生成、训练、仿真测试、云到机器人部署",中国机器人公司普遍绕不开的海外工具链和算力生态,重点跟踪,SRC-robotics-017;SRC-robotics-018;SRC-robotics-051;SRC-robotics-062,"需同时关注出口管制、国产替代和开源许可证。"
Hugging Face LeRobot,lerobot,Global,开源工具链/数据格式,端到端机器人学习库和数据格式,LeRobotDataset v3.0 / LeRobot Hub,"MP4/images, Parquet state/action data, metadata",低成本硬件采集+社区数据集+Hub 流式使用,"记录、加载、可视化、合并、切分、删除 episode、格式迁移、训练/部署",可能成为具身数据交换事实标准之一，国内平台也开始适配,重点跟踪,SRC-robotics-052;SRC-robotics-053,"适合用作本项目后续数据字段标准参考。"
Physical Intelligence,physical-intelligence,Global,机器人基础模型公司,跨本体 VLA 模型与高质量机器人数据运营,pi0,"multi-robot trajectories, VLM features, continuous action data",多本体真实机器人数据+后训练,"数据策展、预训练、后训练、评测；细节披露有限",海外领先样本，用于对标中国具身模型公司,重点跟踪,SRC-robotics-061,"论文披露 7 种机器人配置、68 个任务；商业数据资产未公开。"
