"dataset","role","real_or_sim","scale_signal","canonical_format","observation_action_signal","task_label_signal","embodiment_coverage","task_completeness","best_fit_models_or_algorithms","main_strength","main_gap","source_ids"
"Open X-Embodiment / OXE","cross-embodiment pretraining mixture","real aggregated datasets","22 robots; 21 institutions; 527 skills; 160266 tasks per paper abstract","RLDS / TFDS / TFRecord","observation dicts; source modalities vary; common VLA pipelines often align to RGB plus task string and 7D end-effector/gripper actions","language/task strings where present; coverage varies by source dataset","very broad cross-robot mixture","medium: broad but inconsistent annotation/calibration/metadata across subsets","RT-X; Octo; OpenVLA; RLDS-based VLA pretraining","best open reference for cross-embodiment data mixture and standardization","subset license/schema/fps/calibration must be checked one by one","SRC-robotics-054;SRC-robotics-117"
"DROID","in-the-wild real robot manipulation training/eval dataset","real","76k demonstrations; 350 hours; 564 scenes; 84 tasks; 50 collectors","RLDS for training; raw HDF5 + MP4/SVO","fixed Franka setup; joint/cartesian/gripper states; three camera views; 7D action in RLDS","up to three natural-language instructions per episode; success metadata","single standardized Franka Panda platform","high for single-platform real-world tabletop generalization","OpenPI DROID examples; VLA fine-tuning; imitation learning; diffusion policy baselines","strong balance of scale, scene diversity, reproducible hardware and raw+processed release","not multi-embodiment; large download; mostly tabletop manipulation","SRC-robotics-055;SRC-robotics-116"
"BridgeData V2","low-cost robot large-scale manipulation dataset","real","60096 trajectories; 24 environments","RLDS / TFDS release; OpenVLA scripts use official BridgeData V2","WidowX-style low-cost robot; goal image/language-conditioned manipulation; action details depend on release wrapper","goal images and natural-language instructions supported","single low-cost robot family","medium-high for tabletop tasks; weaker for mobile/dexterous/humanoid","OpenVLA fine-tuning and BridgeData WidowX evaluation; offline RL/IL","easy entry dataset for OpenVLA-style experiments and low-cost robot generalization","older OXE copy may be outdated; official dataset should be used for current OpenVLA workflows","SRC-robotics-174;SRC-robotics-117"
"AgiBot World / AgiBot World 2026","large enterprise-grade real robot dataset and platform","real","paper reports over 1M trajectories; 217 tasks; five deployment scenarios","LeRobot-compatible Parquet + MP4 + JSON/JSONL metadata; HF/ModelScope","multi-camera images; proprioception; action vectors with field descriptions; hierarchical annotations; planned tactile/dexterous extensions","tasks.jsonl plus instruction segments, key frames, skill/error/success/intervention annotations","AgiBot G2/G-series ecosystem; gripper/dexterous/tactile route","very high for long-horizon production-style data schema; public subset completeness still needs verification","GO-1; VLA pretraining/fine-tuning; long-horizon imitation learning; data platform schema design","best reference for production data-factory schema and China-origin large-scale open data","license is non-commercial; public subset vs 1M+ paper scale must be separated","SRC-robotics-044;SRC-robotics-058"
"RoboMIND","China-origin multi-embodiment manipulation dataset","real plus Isaac Sim digital twin","107k trajectories; 479 tasks; 96 object classes; 5k failure demos","HDF5 trajectory files; gated HF/ModelScope/GitHub docs","multi-view RGB/depth; proprioception; joint/end-effector actions; embodiment-specific configs","task-level language plus refined segment annotations in updates; failure causes reported","Franka; UR5e; AgileX dual-arm; humanoid dexterous hands","high for multi-embodiment and failure-learning research; schema download needs verification","VLA/IL multi-task learning; failure reflection/correction; China dataset comparison","failure demonstrations and unified collection protocol are distinctive","gated access and exact v2.0 schema/terms require hands-on verification","SRC-robotics-057"
"RoboMIND 2.0","bimanual mobile manipulation multi-modal dataset","real","reported over 310k bimanual trajectories; 6 embodiments; 739 tasks; tactile/mobile subsets","待验证: likely HDF5 / project-specific release","bimanual manipulation; tactile-enhanced episodes; mobile manipulation trajectories","task annotations reported; exact public schema待验证","six embodiments reported","potentially high for bimanual/mobile/tactile tasks; public status needs verification","bimanual VLA; mobile manipulation; tactile policy learning","extends RoboMIND toward bimanual, mobile and tactile coverage","paper/release status, license and actual download schema must be verified","SRC-robotics-064"
"Galaxea Open-World Dataset","single-embodiment open-world behavior dataset plus G0 model benchmark","real","large-scale diverse robot behaviors in authentic living and working environments; exact public scale待验证 from paper/full release","待验证: project release/schema needed","consistent robotic embodiment; robot behavior demonstrations; subtask-level language annotations","precise subtask-level language annotations reported","single consistent embodiment","potentially high for long-horizon real-scene planning/execution; schema待验证","G0 dual-system VLM+VLA; long-horizon mobile manipulation; task-specific post-training","strong signal for single-embodiment pretraining and subtask annotations","availability, license, exact format and download completeness need verification","SRC-robotics-092;SRC-robotics-182"
"RH20T","contact-rich one-shot imitation dataset","real","over 110k contact-rich manipulation sequences","待验证: official dataset structure requires download/schema inspection","visual, force, audio, action; human demonstration video per robot sequence","language description per sequence","diverse robots, skills, contexts and camera viewpoints","high for contact-rich skill demonstrations; less directly aligned with modern VLA toolchains","one-shot imitation learning; multimodal/contact-rich policy learning","rare open dataset with force/audio/contact-rich information","format/toolchain integration and current license/download friction need verification","SRC-robotics-175"
"ALOHA / Mobile ALOHA","low-cost bimanual/mobile imitation-learning datasets","real","task-specific demos; Mobile ALOHA reports 50 demonstrations per task for complex mobile bimanual tasks","HDF5 episodes in ALOHA ecosystem","multi-camera, joint states, gripper/base actions; whole-body teleoperation for Mobile ALOHA","task-level labels; language annotation not as rich as VLA datasets","fixed low-cost bimanual/mobile hardware","high for specific bimanual/mobile tasks; low for broad dataset diversity","ACT; diffusion policy; behavior cloning; co-training static/mobile datasets","best practical reference for low-cost bimanual data collection and ACT-style training","dataset scale is task-specific and hardware-bound; not broad pretraining mixture","SRC-robotics-077;SRC-robotics-080"
"UMI community datasets","human-handheld demonstration and UMI-like data collection route","human/handheld; converted to robot training data","often small task-specific datasets; community notes say even 50 demos can be useful","Zarr in canonical UMI/Diffusion Policy examples; LeRobot export possible","RGB, 6DoF pose, gripper width; robot action reconstructed/retargeted rather than native robot control","task labels vary; not guaranteed in raw community examples","hardware-agnostic human demonstration interface","medium: fast data collection but task/metadata consistency must be imposed by project","Diffusion Policy; UMI-like imitation learning; data collection products","lowest-cost route for collecting many human manipulation demos","retargeting, calibration, pose quality and task metadata are major bottlenecks","SRC-robotics-065;SRC-robotics-068"
