paper_or_dataset,year,organization_or_authors,category,data_scale_or_core_claim,why_it_matters,source_ids,follow_up_questions
Open X-Embodiment: Robotic Learning Datasets and RT-X Models,2023,Open X-Embodiment Collaboration,跨本体真实机器人数据集/RT-X 模型,"22 种机器人、21 个机构、527 个技能、160266 个任务",证明跨机器人数据标准化和泛化策略是可行路线，是后续 Octo、LeRobot 等生态的基础,SRC-robotics-054,"中国数据集如何兼容 OXE taxonomy？哪些国内公司可贡献开放数据？"
DROID: A Large-Scale In-The-Wild Robot Manipulation Dataset,2024,UC Berkeley and collaborators,真实世界分布式机器人操作数据,"76k demonstrations / 350 hours / 564 scenes / 84 tasks / 50 collectors",强调真实环境多样性和分布式采集，对中国数据工厂/众包采集模式有参考价值,SRC-robotics-055,"中国可否用低成本硬件复制 DROID 式分布式采集？"
Octo: An Open-Source Generalist Robot Policy,2024,Octo Model Team,开源通用机器人策略,"基于 Open X-Embodiment 约 800k trajectories 训练",把“数据集规模+可微调策略初始化”变成开源基线，适合评估数据处理格式和训练流程,SRC-robotics-056,"国内数据平台是否能提供 Octo/LeRobot 兼容训练入口？"
RoboMIND,2024/2025,北京人形机器人创新中心/北京大学等,多本体机器人操作数据集,"107k demonstration trajectories / 479 tasks / 96 object classes；含 5k failure demonstrations",国内代表性多本体数据集，强调统一采集平台、标准协议和失败数据标注,SRC-robotics-057,"失败轨迹如何标注和用于反思/纠错训练？是否有商业可用许可？"
AgiBot World Colosseo,2025,智元机器人及合作者,大规模真实机器人操作平台/数据集,"超 100 万 trajectories / 217 tasks / 5 类部署场景",国内最重要的企业级数据开放信号，连接数据集、工具、模型 GO-1 和真实场景,SRC-robotics-058,"开放数据覆盖哪些本体？是否有完整数据质量报告和训练复现实验？"
RoboTwin,2025,香港大学/清华等,生成式数字孪生/仿真数据 benchmark,"从 2D 图像生成对象数字孪生和交互场景；预训练+少量真机微调显著提升双臂任务成功率",代表“生成式仿真+少量真实数据”的降本路线，可用于研究 sim-to-real 数据生产,SRC-robotics-059,"哪些工业/仓储场景最适合用数字孪生补数据？真实评测如何设计？"
MimicGen,2023,NVIDIA/UT Austin 等,少量示教扩增/仿真数据生成,"约 200 条人类示教生成 50k+ demonstrations / 18 tasks",说明人类示教可以通过仿真和场景扰动扩增，是降低人工采集成本的重要方法,SRC-robotics-060,"中国灵巧手/双臂场景是否能建立 MimicGen 式自动扩增管线？"
pi0: A Vision-Language-Action Flow Model for General Robot Control,2024,Physical Intelligence,VLA/机器人基础模型,"7 种机器人配置、68 个任务；VLM backbone + flow-matching action expert",说明高质量跨本体数据、预训练和后训练是海外前沿公司核心资产,SRC-robotics-061,"中国公司是否有可复现的跨本体模型评测？数据规模和质量如何披露？"
NVIDIA Isaac GR00T N1,2025,NVIDIA Research,VLA/人形机器人基础模型,"训练数据包括第一视角人类视频、真实/仿真机器人轨迹和合成数据",把人类视频、机器人轨迹、合成数据纳入同一训练框架，是整机厂可借鉴的数据混合路线,SRC-robotics-062,"中国公司在算力/工具链受限时如何替代 GR00T/Isaac/Cosmos？"
NVIDIA GR00T-Dreams,2025,NVIDIA,世界模型合成轨迹生成,"从单张图像和语言提示生成大量合成轨迹；少量遥操作示教后扩展新任务/新环境",显示数据生产从“采集更多真实示教”转向“真实示教+世界模型生成+后训练”,SRC-robotics-051,"合成轨迹的物理有效性和安全性如何评估？"
LeRobot: Open-source library and LeRobotDataset v3.0,2024/2026,Hugging Face,开源数据格式/训练工具链,"MP4/images + Parquet state/action + metadata；v3 支持分片、关系元数据、Hub-native streaming",可能成为机器人数据处理的事实开源标准，解决多实验室数据碎片化问题,SRC-robotics-052;SRC-robotics-053,"国内企业如何兼容 LeRobot，同时保护客户数据和商业数据资产？"
RoboBrain 2.0 Technical Report,2025,BAAI RoboBrain Team,具身视觉语言基础模型/数据构建,"技术报告覆盖模型架构、数据构建、多阶段训练、基础设施与应用",对理解中国开源“具身大脑”训练数据体系有参考价值,SRC-robotics-063,"RoboBrain 与真实动作数据/VLA 的边界在哪里？如何和机器人策略模型衔接？"
RoboMIND 2.0,2025/2026,北京人形机器人创新中心/北京大学等,双臂移动操作多模态数据集,"超 310k 双臂 manipulation trajectories / 6 种本体 / 739 tasks；含 12k tactile-enhanced episodes 和 20k mobile manipulation trajectories",延续 RoboMIND，关注双臂、移动操作、多模态和跨本体泛化,SRC-robotics-064,"许可、下载入口和正式发表状态需持续核验。"
