id,title,source_type,publisher,date,url_or_path,evidence_grade,notes
SRC-robotics-001,人形机器人创新发展指导意见,policy,工业和信息化部,2023-10-20,https://www.miit.gov.cn/jgsj/kjs/wjfb/art/2023/art_50316f76a9b1454b898c7bb2a5846b79.html,S,2026-04-28 verified reachable; core policy for humanoid robotics goals and tasks
SRC-robotics-002,《人形机器人创新发展指导意见》解读,policy_interpretation,工业和信息化部,2023-11-02,https://www.miit.gov.cn/zwgk/zcjd/art/2023/art_e3f5686c2f0d49f9968b7ae011d558e1.html,S,2026-04-28 verified reachable; explains 2025 and 2027 targets
SRC-robotics-003,“机器人+”应用行动实施方案,policy,国务院客户端/工业和信息化部等十七部门,2023-01-18,https://app.www.gov.cn/govdata/gov/202301/20/496429/article.html,S,2026-04-28 verified reachable; application scenarios and robot density target
SRC-robotics-004,十五五新图景：聚力未来产业 引领产业未来,policy_media,国家发展和改革委员会/央视网,2026-04-01,https://www.ndrc.gov.cn/xwdt/spfg/mtjj/202604/t20260401_1404454.html,A,2026-04-28 verified reachable; 15th Five-Year Plan future industry framing includes embodied intelligence
SRC-robotics-005,工业和信息化部人形机器人与具身智能标准化技术委员会成立,standard_policy,工业和信息化部,2025-12-27,https://wap.miit.gov.cn/xwfb/bldhd/art/2025/art_25c6077c819d4a77aa7a900a82bbde45.html,S,2026-04-28 verified reachable; standardization body and scope
SRC-robotics-006,中华人民共和国2025年国民经济和社会发展统计公报,statistics,国家统计局,2026-02-28,https://www.stats.gov.cn/sj/zxfbhjd/202602/t20260228_1962662.html,S,2026-04-28 verified reachable; annual industrial robot and service robot output data
SRC-robotics-007,2025年12月份规模以上工业增加值增长5.2%,statistics,国家统计局,2026-01-19,https://www.stats.gov.cn/sj/zxfbhjd/202601/t20260119_1962329.html,S,2026-04-28 verified reachable; monthly and cumulative industrial/service robot output
SRC-robotics-008,World Robotics 2025 report - Industrial Robots,industry_statistics,International Federation of Robotics,2025-09-25,https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years%20%20%20,A,2026-04-28 verified reachable; global installation and China share benchmark
SRC-robotics-009,UBTECH Robotics HKEX issuer announcements page,filing_index,Hong Kong Exchanges and Clearing,2026-04-14,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=1000208870,S,2026-04-28 verified reachable; source for annual reports and announcements
SRC-robotics-010,UBTECH latest announcements and circulars,company_ir,UBTECH Robotics,2026-04-14,https://www.ubtrobot.com/en/announce,A,2026-04-28 verified reachable; company IR mirror for announcements
SRC-robotics-011,UBTECH company profile,company_profile,UBTECH Robotics,2026,https://www.ubtrobot.com/en/about/company-profile,A,2026-04-28 verified reachable; product scenario and patent claims to cross-check against filings
SRC-robotics-012,Unitree G1 humanoid robot product page,product_page,Unitree Robotics,2026,https://www.unitree.com/en/g1,A,2026-04-28 verified reachable; price and specifications
