region,company,ownership_or_listing,ticker,device_or_architecture,relationship_to_memristor_cim,latest_public_result,maturity,commercial_cim_evidence,evidence_grade,source_ids,notes
China,Yizhu Technology,Private,,ReRAM legacy; all-digital 3D-DRAM current,Direct developer,"2023 ReRAM POC lit; 2026 all-digital 3D-DRAM CIM chip taped out",Engineering sample / route pivot,No independently verified volume shipment or repeat customer revenue,A,"SRC-ic-038;SRC-ic-039","Latest route is no longer memristor; vendor performance and TCO claims remain unverified"
China,InnoMem,Private,,RRAM memory and RRAM AI chip R&D,Direct developer,"Standalone RRAM memory cumulative shipments claimed above 30M units; R100 display-driver storage application",Commercial RRAM memory; CIM not proven,No public evidence that the shipped units are CIM chips,A,SRC-ic-040,"Do not convert memory shipment evidence into CIM commercialization evidence"
China,Innostar Semiconductor,Private,,ReRAM IP / storage / AI CIM IP,Direct IP and product developer,"Officially reports commercial delivery of storage chips and CIM IP; 28nm security-storage product entered production",Commercial storage; CIM IP early,No disclosed CIM-chip volume or customer revenue split,A,SRC-ic-041,"Potential domestic IP platform; business mix and shipment scale undisclosed"
China,Zhongke Zhicu,Private,,RRAM FRAM MRAM reserves and low-power speech CIM,Direct R&D developer,"USTC-incubated project; Biwin filing records investment and commissioned R&D",R&D / technical reserve,No public mass-produced memristor-CIM chip,S,"SRC-ic-049","Investment and commissioned R&D are not product proof"
China,Tsinghua research teams,Academic,,RRAM memristor CIM,Research platform,"NeuRRAM 48 cores and 3M RRAM devices; STELLAR fully integrated on-chip learning",Research chips,No commercial product or revenue,S,"SRC-ic-036;SRC-ic-037","Benchmark-defining results but not a company investment target"
China,SMIC,Public,688981.SH / 0981.HK,CMOS foundry plus research cooperation,Manufacturing / research mapping,"Public university cooperation on advanced-node memristor and CMOS integration",Research cooperation,No disclosed memristor-CIM product revenue,B,,"Listed exposure is indirect and financially immaterial based on public disclosure"
China,Shengshi Technology,Public,002990.SZ,Strategic investment in Yizhu,Capital mapping,"Invested RMB50M in Yizhu in 2024",Minority investment,No disclosed contribution from memristor-CIM revenue,S,SRC-ic-048,"Stock is not a pure-play proxy"
China,Biwin Storage,Public,688525.SH,Investment and commissioned R&D with Zhongke Zhicu,Capital / R&D mapping,"RMB3.9M investment plus RMB8.2324M commissioned R&D in Jan-Sep 2024",Minority investment / R&D,No disclosed volume product or revenue contribution,S,SRC-ic-049,"Core storage business dominates valuation"
Non-China,TetraMem,Private,,Analog memristor RRAM IMC,Direct product developer,"22nm MLX200 announced; evaluation-kit shipments targeted for H2 2026; joint SoC paper with SK hynix",Engineering product / pre-shipment,No independently verified volume shipment or repeat customer revenue,A,"SRC-ic-042;SRC-ic-043","Closest direct product candidate in this screen; roadmap is vendor-stated"
Non-China,Weebit Nano,Public,WBT.AX,ReRAM IP and analog CIM R&D,Direct IP developer / research program,"Selected for Korean national analog CIM program with DB HiTek; ReRAM IP integration continues",Commercial ReRAM IP; CIM R&D,No disclosed CIM royalties or volume product revenue,A,SRC-ic-047,"Direct technology exposure but CIM commercialization should not be inferred from memory-IP milestones"
Non-China,Crossbar,Private,,ReRAM IP,Direct IP developer,"Published ReRAM AI-inference architecture and continues embedded ReRAM licensing positioning",IP / concept,No verified mass-produced CIM chip or disclosed customer shipment,A,SRC-ic-052,"Private company; public evidence is mostly company material"
Non-China,IBM,Public,IBM.N,PCM analog CIM,Corporate research,"35M PCM devices across 34 tiles and 12.4 TOPS/W speech chip; 64-core mixed-signal chip",Research chips,No disclosed product revenue from PCM-CIM,S,SRC-ic-044,"High-quality system research; negligible disclosed financial exposure"
Non-China,TSMC,Public,TSM.N / 2330.TW,RRAM plus SRAM mixed-precision CIM,Foundry research platform,"40nm RRAM/SRAM/digital edge processor published in Nature; RRAM memory platform qualification is separate",Research chip / foundry process,No disclosed customer CIM product or revenue split,S,"SRC-ic-045;SRC-ic-051","Macro and research-chip metrics must not be equated with commercial AI-accelerator economics"
Non-China,Samsung Electronics,Public,005930.KS,MRAM CIM,Corporate research,"First MRAM-based CIM demonstration reported 98% MNIST and 93% face-detection accuracy",Research chip,No disclosed MRAM-CIM product revenue,A,SRC-ic-046,"MRAM is adjacent resistive NVM rather than the report's core RRAM route"
Non-China,SK hynix,Public,000660.KS,Memristor IMC research partnership,Research partner,"Joint paper with TetraMem on IMC SoC and efficient depthwise convolution",Research collaboration,No disclosed memristor-CIM product revenue,A,SRC-ic-043,"Stock performance is dominated by HBM and memory cycle"
Non-China,Rain AI,Private,,Current digital SRAM IMC; historical memristive direction,Excluded route-pivot case,"Current public product and approach pages emphasize digital SRAM-based IMC",Product development but non-memristor,Not a current memristor-CIM candidate,A,SRC-ic-053,"Useful contrary evidence that materials and manufacturability can force an architecture pivot"
