year,title,venue_or_status,application_area,project_or_artifact,open_code_status_in_this_review,source_id,url
2016,UnrealCV Connecting Computer Vision to Unreal Engine,ECCV_workshop_preprint,"programmable rendering and synthetic ground truth",UnrealCV,repository_verified,SRC-robotics-429,https://arxiv.org/abs/1609.01326
2017,AirSim High-Fidelity Visual and Physical Simulation for Autonomous Vehicles,Field_and_Service_Robotics,"UAV or car simulation, sensing and HIL",AirSim,legacy_repository_verified,SRC-robotics-432,https://arxiv.org/abs/1705.05065
2017,CARLA An Open Urban Driving Simulator,CoRL_2017,"autonomous driving and urban traffic simulation",CARLA,repository_verified,SRC-robotics-437,https://arxiv.org/abs/1711.03938
2018,UnrealROX An eXtremely Photorealistic Virtual Reality Environment for Robotics Simulations,preprint,"robotic perception, VR teleoperation, grasping and navigation",UnrealROX,historical_repository_verified,SRC-robotics-449,https://arxiv.org/abs/1810.06936
2019,The RobotriX An eXtremely Photorealistic and Very-Large-Scale Indoor Dataset,preprint,"annotated indoor robot trajectories and interactions",RobotriX,dataset_or_project_delivery_not_reaudited,SRC-robotics-450,https://arxiv.org/abs/1901.06514
2022,HoloOcean An Underwater Robotics Simulator,ICRA_2022,"marine sensors, communication and multi-agent autonomy",HoloOcean,docs_and_package_verified_core_repo_not_located,SRC-robotics-454,https://publications.ri.cmu.edu/storage/publications/2022/10/Potokar22icra.pdf
2023,Cosys-AirSim A Real-Time Simulation Framework Expanded for Complex Industrial Applications,ANNSIM_or_preprint,"expanded sensors, vehicles and industrial autonomy",Cosys-AirSim,repository_verified,SRC-robotics-435,https://arxiv.org/abs/2303.13381
2023,UNav-Sim A Visually Realistic Underwater Robotics Simulator and Synthetic Data-generation Framework,preprint,"underwater vision and navigation",UNav-Sim,repository_verified,SRC-robotics-452,https://arxiv.org/abs/2310.11927
2023,HEROES Unreal Engine-based Human and Emergency Robot Operation Education System,preprint,"disaster response, destructible scenes and mixed human-robot training",HEROES,repository_not_audited,SRC-robotics-457,https://arxiv.org/abs/2309.14508
2025,Unreal Robotics Lab A High-Fidelity Robotics Simulator with Advanced Physics and Rendering,ICRA_2026_project_preprint,"UE rendering plus MuJoCo physics, visual navigation and SLAM",Unreal_Robotics_Lab,repository_verified,SRC-robotics-441,https://arxiv.org/abs/2504.14135
2025,Implementation Analysis of Collaborative Robot Digital Twins in Physics Engines,preprint,"UE5 or ROS2 bidirectional digital twin for collaborative manipulators",custom_digital_twin,implementation_paper_not_platform_release,SRC-robotics-458,https://arxiv.org/abs/2504.18200
2025,Synthetic Dataset Generation for Autonomous Mobile Robots Using 3D Gaussian Splatting for Vision Training,preprint,"real-to-sim appearance reconstruction and robot-soccer detection",custom_UE_pipeline,code_not_audited,SRC-robotics-459,https://arxiv.org/abs/2506.05092
2025,SimWorld-Robotics Synthesizing Photorealistic and Dynamic Urban Environments,NeurIPS_2025,"VLM navigation, urban embodied reasoning and multi-robot collaboration",SimWorld-Robotics,repository_verified,SRC-robotics-445,https://arxiv.org/abs/2512.10046
2026,CARLA-Air Fly Drones Inside a CARLA World,preprint,"air-ground embodied intelligence and synchronized sensing",CARLA-Air,repository_verified_noncommercial_license,SRC-robotics-439,https://arxiv.org/abs/2603.28032
2026,HERCULES An Open-Source Simulation Framework for Heterogeneous Multi-Robot SLAM,preprint,"UAV-UGV SLAM, collaborative perception and exploration",HERCULES,authors_claim_public_code_repo_audit_pending,SRC-robotics-456,https://arxiv.org/abs/2606.22756
2026,SPEAR A Simulator for Photorealistic Embodied AI Research,ECCV_2026,"general UE programming, sensors, PCG and MuJoCo co-simulation",SPEAR,repository_verified,SRC-robotics-443,https://arxiv.org/abs/2607.06701
2026,VirtualEnv A Platform for Embodied AI Research,AAAI_2026,"LLM or VLM grounded interaction, object manipulation and multi-agent tasks",VirtualEnv,authors_claim_open_source_repo_not_located,SRC-robotics-460,https://arxiv.org/abs/2601.07553
2026,SimWorld Studio Automatic Environment Generation with Evolving Coding Agent for Embodied Agent Learning,preprint,"agentic UE scene generation and adaptive curricula",SimWorld_Studio,public_repo_requires_private_source_dependency,SRC-robotics-462,https://arxiv.org/abs/2605.09423
