company,product_model,product_category,key_public_parameters,technical_route,strengths,weaknesses_or_unknowns,sources,verification_status
UBTECH,Walker S2,industrial humanoid,"autonomous hot-swappable battery; claimed autonomous swap within 3 minutes; dual-battery dynamic balancing","industrial humanoid + autonomous energy replenishment + multi-robot factory operations","targets 24/7 operation and factory continuity","payload, cycle time, MTBF, price and customer acceptance need verification","SRC-robotics-137","web verified; raw capture pending"
UBTECH,Walker S / Walker S1,industrial humanoid,"Walker S around 1.7m; 41 force-feedback servo joints; U-SLAM + 3D semantic navigation; ROSA 2.0","industrial humanoid + multimodal perception + LLM decision","listed company disclosures and automotive factory training signals","generation differences and detailed parameters need product manuals","SRC-robotics-138;SRC-robotics-139","web verified; raw capture pending"
UBTECH,Walker X,service humanoid,"130cm; 63kg; 41DoF; 3km/h max walking speed; 20 degree slope; 15cm stairs; 7DoF arms + 6DoF force-controlled hands","service humanoid + visual navigation + hand-eye coordination","strong service interaction and perception stack","commercial ROI outside industrial scenarios is harder to verify","SRC-robotics-136","web verified; raw capture pending"
UBTECH,Walker,legacy service humanoid,"145cm; 77kg; 36DoF; single-arm extended load 1.5kg; about 2h runtime; Ubuntu + Linux RT + ROS + Android","early humanoid service platform","transparent legacy parameters and technology baseline","older generation; not the current purchase focus","SRC-robotics-135","web verified; raw capture pending"
Unitree,G1,humanoid,"1320x450x200mm standing; about 35kg; 23DoF; arm load about 2kg; 9000mAh battery about 2h; depth camera + 3D LiDAR; from USD 13.5k","low-cost standardized humanoid hardware","clear pricing and developer accessibility","limited payload and still early for commercial operation","SRC-robotics-012","raw captured"
Unitree,G1 EDU,humanoid developer edition,"23-43DoF; optional Dex3-1 7DoF three-finger hand; optional tactile arrays; optional Jetson Orin; knee torque 120Nm; arm load about 3kg","developer/education humanoid with expandable hand and compute","better development configuration than base G1","price and delivery terms require sales confirmation","SRC-robotics-012","raw captured"
Unitree,H1,full-size humanoid,"about 180cm; about 47kg; 3.3m/s moving speed; potential >5m/s; 0.864kWh quick-swap battery; max joint torque 360Nm","high-dynamic full-size humanoid","strong locomotion performance","manipulation and dexterous hand are not the main strength","SRC-robotics-013","raw captured"
Unitree,H1-2,full-size humanoid,"about 178cm; about 70kg; 27DoF; leg max torque 360Nm; arm max torque 120Nm; arm rated load about 7kg and peak about 21kg","enhanced full-size humanoid with stronger upper limbs","higher payload and arm DoF than H1","speed below 2m/s; pricing and delivery unclear","SRC-robotics-013","raw captured"
Unitree,G1-D Standard,wheeled dual-arm data platform,"about 50kg; 17DoF excluding end effector; dual 7DoF arms; 2DoF waist; 3kg single-arm payload; Orin NX 100TOPS","robot data acquisition + training + deployment platform","clear data/training workflow; multiple end effectors","not bipedal; pricing and actual platform openness need verification","SRC-robotics-014","raw captured"
Unitree,G1-D Flagship,wheeled dual-arm data platform,"about 80kg; 19DoF excluding end effector; differential chassis 1.5m/s; about 6h runtime; LiDAR + depth cameras + collision sensors","mobile dual-arm data and training platform","longer runtime and mobile base for data collection","price and deployment cases need verification","SRC-robotics-014","raw captured"
AGIBOT,A2-W,wheeled flexible manufacturing robot,"770x620x1630mm; 230kg; 2kWh; 2h charge; 5h runtime; 5kg single-arm load; 7DoF per arm; 0-2m operating height; 275T compute","wheeled dual-arm + embodied atomic skills + data/training/deployment","industrial parameters and hot-swappable battery fit flexible manufacturing","A2/A2-Max/G/X/C series details still need official manuals","SRC-robotics-140","web verified; raw capture pending"
AGIBOT,A2 / A2-Max / G1 / X1 / X2 / C5,robot product matrix,"product names visible from official product matrix; detailed parameters not extracted","embodied robot matrix + Genie Studio + AgiBot World data loop","strong whole-stack positioning from body to data/model platform","financials, customers and exact model specifications need verification","SRC-robotics-015;SRC-robotics-016;SRC-robotics-123","partial raw captured; parameters pending"
