system,year,route,hardware_interface,pose_tracking,modalities,policy_or_data_stack,advantages,limitations,china_business_relevance,source_ids,notes,official_bom_or_hardware_guide,key_bom_items,procurement_links,license_status,critical_sensor_availability,china_localization_ideas,discontinuation_or_supply_risk,v0_productization_suggestion,bom_research_status
UMI original,2024,handheld interface-mediated manipulation,3D printed passive parallel-jaw handheld gripper plus robot-mounted compatible gripper and GoPro,GoPro visual-inertial ORB-SLAM3 plus fiducial marker gripper width,"fisheye RGB, GoPro IMU, 6DoF end-effector pose, gripper width, bimanual relative pose",SLAM pipeline to Zarr replay buffer; Diffusion Policy; relative trajectory action; latency matching,portable low cost in-the-wild data collection; robot-agnostic policy interface; supports dynamic bimanual precise long-horizon tasks,visual SLAM fragile in weak texture and occlusion; GoPro/SLAM setup complexity; passive gripper ergonomics and limited dexterity,core reference architecture for domestic data collection devices and ToB service SOP,SRC-robotics-065;SRC-robotics-066;SRC-robotics-067;SRC-robotics-068,"Original paper reports 780g device, 80mm stroke, 73 USD gripper BoM plus 298 USD camera accessories.",Official GitHub links to Google Hardware Guide and Onshape; paper reports low-cost gripper and camera accessories,3D-printed PLA/TPU parallel gripper; MGN9C linear rails; M3 screws/nuts; compression springs; ArUco tags; GoPro HERO9 with Max Lens Mod; GoPro Labs firmware; robot-side UR5/Franka + WSG-50 style deployment mount,https://github.com/real-stanford/universal_manipulation_interface; https://docs.google.com/document/d/1TPYwV9sNVPAi0ZlAupDMkXZ4CA1hsZx7YDMSmcEy6EU/edit; https://umi-gripper.github.io/; https://gopro.com/en/us/info/gopro-labs,Software repo MIT. Hardware guide is public but Google Doc export needs manual verification. Third-party mechanism/finger designs are acknowledged in repo; keep attribution and verify CAD/license before commercial reuse.,GoPro HERO9/Max Lens Mod is a legacy consumer-camera stack; exact model supply should not be assumed. Main technical dependency is extracting reliable video + IMU for ORB-SLAM3 and preserving timestamps.,"Keep geometry and data interface, localize parts: domestic 3D printing/CNC; domestic MGN rails/springs/screws; DJI Osmo Action/Insta360 Ace or industrial fisheye camera + external IMU as camera substitute after calibration; JAKA/Dobot/Aubo/UR/xArm robot-side mounts; Robotiq/DH/Agile Robots/WEISS-like gripper adapters.",Medium: exact GoPro HERO9/Max Lens Mod and WSG-50 setup may be harder to standardize in China; ORB-SLAM3 pipeline is fragile in weak texture/occlusion.,"Use as v0 baseline: one passive gripper SKU + one camera SKU + calibration board + standard Zarr exporter. Sell data package, QC report and baseline training, not only hardware.",BOM partly verified from official repo/project and prior raw extract; exact Google Doc links require manual browser review.
FastUMI,2024/2025,UMI-like plug-and-play redesign,standard handheld device plus adjustable robot-mounted device and fingertip extensions for multiple grippers,Intel RealSense T265 tracking camera instead of open-source SLAM,"GoPro fisheye RGB, T265 6DoF pose, gripper width markers",ROS nodes for synchronized collection and conversion to ACT or Diffusion Policy formats,faster deployment; less SLAM debugging; decouples from WSG-50 and specific robot hardware,T265 availability and long-term supply risk; tracking robustness depends on commercial module; paper short version has limited quantitative detail,good domestic product inspiration for a practical lab/industrial starter kit,SRC-robotics-069,Website claims over 10k trajectories across 22 everyday tasks.,Project page and FastUMI_Data repo provide data collection code; web page links hardware 3D printing/purchase and installation; repo documents T265/GoPro workflow,Handheld and robot-mounted decoupled device; GoPro fisheye RGB; Intel RealSense T265 for pose; ArUco gripper width markers; ROS Noetic; HDF5 and Zarr conversion scripts; FastUMI Pro adds tactile fingertip and RoboBaton Mini replacement,https://www.fastumi.com/FastUMI/; https://github.com/zxzm-zak/FastUMI_Data; https://arxiv.org/abs/2409.19499; https://en.hessian-matrix.com/; https://www.yundrone.cn/products/robo-baton,FastUMI_Data repo MIT. Hardware CAD/purchase artifacts appear public on project page but per-file hardware license needs verification.,"T265 is end-of-life and not supported in later librealsense versions; repo recommends librealsense v2.53.1. RoboBaton Mini is a Chinese VIO-SLAM replacement candidate, with vendor pages showing Mini product/downloads and domestic distributor availability.","For China v0, skip T265 stockpiling and design around RoboBaton Mini or another domestic VIO module. Keep a tracker abstraction layer: pose source can be T265, RoboBaton, ARKit, Vive, LiDAR-SLAM or motion capture.",High if relying on T265. Medium if RoboBaton Mini API/SDK stability and calibration accuracy are not tested across manipulation occlusions.,Productize as the first practical kit: handheld collector + robot-side mount + pose-source abstraction + HDF5/Zarr/LeRobot export + RViz-like live QC. Offer T265-compatible import only for legacy customers.,Verified repo license and workflow; hardware purchase list details still need manual project-page artifact review.
UMI-3D,2026,UMI multimodal 3D extension,UMI-like gripper with lightweight low-cost LiDAR integrated into wrist-mounted interface,LiDAR-centric SLAM with spatiotemporal calibration to visual observations,"RGB, LiDAR point cloud, 3D pose, synchronized multimodal data",end-to-end data acquisition alignment training deployment; still supports 2D visuomotor policy formulation,more hardware and calibration complexity than original UMI; single-author 2026 preprint needs independent replication,"strong route for weak-texture industrial scenes such as white walls, curtains, shelves, doors",SRC-robotics-070,Project site states cost below 5000 RMB and no external infrastructure.,,"UMI-3D Hardware repo has explicit BOM, CAD/STL links, wiring, ROS driver, and target cost",Livox MID-360/MID-360S; Hikrobot MV-CB013-A0UC-S camera; ZLKC MTV185IR12MP lens; LiDAR-camera hardware synchronizer; 12V battery; PLA/TPU printed gripper; ARX L5/R5/X5 and Agilex Piper mounts,https://umi-3d.github.io/; https://github.com/Physical-Intelligence-Laboratory/UMI-3D-Hardware; https://github.com/hku-mars/UMI-3D; https://www.livoxtech.com/; https://www.hikrobotics.com/; https://zlkc.com.cn/,UMI-3D-Hardware repo Apache-2.0. SLAM/data pipeline repo license should be checked per repository before redistribution.,"Very favorable for China: Livox, Hikrobot and ZLKC are China-accessible components; project page claims total cost under RMB 5000 / USD 700.",This is the strongest domestic localization route: use Livox/Hikrobot/ZLKC as default; replace Taobao sync board with in-house trigger/sync PCB for reliability; package ROS Noetic driver and calibration SOP.,"Low-to-medium: component supply looks local, but MID-360 price/availability and synchronizer quality need procurement confirmation. Technical risk shifts from supply to calibration and LiDAR-camera synchronization.","Make v1 rugged kit around UMI-3D for weak-texture industrial/retail scenes. Differentiate with one-click rosbag recording, calibration validation, point-cloud replay and SLAM success-rate report.",Best-verified BOM among UMI variants.
TacUMI,2026,multimodal contact-rich UMI,"compact robot-compatible gripper integrating ViTac tactile sensors, force-torque sensor and pose tracker",external pose tracker,"vision, tactile, force-torque, pose",multimodal sequence segmentation and event boundary detection,targets contact-rich long-horizon tasks where vision alone misses event transitions,higher BOM and assembly complexity; task coverage still narrow in public report,"good premium module for cable assembly, insertion, wiping, polishing and other contact-rich data services",SRC-robotics-072,Reports more than 90 percent segmentation accuracy on cable mounting.,Project page and paper describe hardware design; public GitHub/BOM not found during this pass,Compact robot-compatible handheld gripper; ViTac tactile sensors on fingertips; 6D force-torque sensor; Vive tracker; continuous self-locking mechanism; synchronized visual/tactile/force/pose streams,https://tac-umi.github.io/TacUMI/; https://arxiv.org/abs/2601.14550,License unknown. No official public code or hardware repo found in this pass.,"Vive tracker is commercially available but needs Lighthouse/SteamVR infrastructure. ViTac and 6D F/T sensor supply, price and licensing are not yet verified.","Use as premium module inspiration, not v0: domestic tactile options include GelSight-like optical tactile modules, 9DTact-like sensors, DIGIT-like modules, or custom silicone+camera tactile fingertips; domestic F/T sensor vendors and ATI/OnRobot/Robotiq alternatives need vendor testing.","High: no public BOM/license; tactile/force sensors are costly, fragile and calibration-heavy; Vive tracker may be awkward for industrial ToB deployment.","Do not commercialize first. Use TacUMI ideas for vertical pilots: cable routing, insertion, wiping, polishing. Deliver multimodal segmentation labels and contact event tags as premium data add-on.","Needs follow-up: identify ViTac vendor/repo, F/T sensor model, tracker model, and licensing."
UMI-FT,2026,force-aware compliant UMI,handheld gripper with compact six-axis force-torque sensors on each finger,pose plus force-aware data pipeline,"RGB, depth, pose, finger-level wrench, grasp force","adaptive compliance policy predicts position targets, grasp force and stiffness",directly addresses force modulation and safe contact,"sensor cost, durability, calibration drift and controller integration are nontrivial",important direction for domestic force/tactile hardware and ToB high-value datasets,SRC-robotics-073,Submitted to ICRA 2026 according to arXiv page.,UMI-FT site links official hardware guide; UMI-FT repo gives data collection/processing folder structures and Zarr fields,iPhone 15 Pro or ARKit iPhone; two CoinFT six-axis F/T sensors; Teensy 4.0; breadboard/wires/connectors; PLA/TPU printed gripper; optional contact mic; grip tape; M2/M3 screws; UR robot + WSG gripper for deployment,https://umi-ft.github.io/; https://github.com/real-stanford/UMI-FT; https://docs.google.com/document/d/e/2PACX-1vRrfSfjj3ct5u4bdyJYX92zH3QwZahU1D0nfb9wjb6GqDXqEZYVsaxwcCh1gwJgjRlq1fbgLJECGoPf/pub; https://coin-ft.github.io/; https://arxiv.org/abs/2601.09988,UMI-FT repo MIT. CoinFT project is CC BY-NC-SA 4.0 and explicitly disallows commercial use without separate Stanford license; this is a major commercialization constraint.,"CoinFT is a research sensor, material cost is low but commercial supply is not established. Hardware guide warns about power fluctuation sensitivity, warm-up drift and mounting-induced PCB warping.","For China commercialization, do not embed CoinFT without license. Build a replaceable force module: domestic 6-axis F/T sensor for robot-side; lower-cost strain gauge/capacitive fingertip prototype; ARKit/iPhone route can be localized only if iPhone supply/app policy is acceptable.",High for CoinFT commercial license and production yield. Medium for iPhone/ARKit dependency if targeting domestic enterprise procurement.,"Treat UMI-FT as a high-value roadmap item after passive/vio kit works. Productize force data as service: force calibration certificate, drift report, compliance labels and contact-force safety limits.",Commercial use requires legal/licensing follow-up.
MV-UMI,2025,multi-view UMI,handheld UMI-like gripper plus third-person camera view,UMI-like tracking with added external visual context,egocentric wrist view plus third-person view,cross-embodiment learning with multi-view observations,helps broad scene understanding while preserving handheld interface benefits,third-person camera reintroduces setup and environment dependency,"useful for warehouses, retail shelves and large workspaces where wrist view is insufficient",SRC-robotics-074,Abstract reports about 47 percent improvement across three broad-scene subtasks.,Project site describes mechanical design and says code/hardware repository coming soon,Handheld modular gripper; robot-mounted three-jaw gripper configuration; modified two-gripper UMI with affordable linear motors; egocentric camera plus third-person camera; segmentation/inpainting-style processed view,https://mv-umi.github.io/; https://arxiv.org/abs/2509.18757,Website CC BY-SA 4.0. Code and hardware repository marked coming soon; hardware/software license unknown.,"Sensors are ordinary cameras and motors in principle, but exact camera/motor/BOM are not published. Main dependency is robust multi-view calibration and human/robot visual-domain processing.","Easy to localize if BOM appears: domestic USB/industrial cameras, Hikrobot/Daheng/MindVision, low-cost linear actuators, fixed tripod/overhead rigs. For ToB, pair with UMI/FastUMI/UMI-3D kit instead of standalone.","Medium: not blocked by rare sensor, but blocked by missing public implementation artifacts.","Use as service add-on for large workspaces: shelf replenishment, warehouse totes, retail display, lab bench. Bundle third-person calibration board and automatic view-quality check.",Await code/hardware release.
Actuated UMI Gripper,2024,robot-mounted actuated gripper,3D printed gripper powered by Dynamixel XL430-W250-T and U2D2 ecosystem,controlled motor API,actuated gripper state and robot-mounted manipulation interface,Dynamixel API plus mechanical design files,turns UMI-like geometry into a controllable robot gripper; cheap and modular,not a full data collection pipeline; needs robot integration and safety validation,good reference for domestic small-batch actuated deployment gripper,SRC-robotics-071,MIT licensed with third-party UMI components under their original terms.,"Official GitHub README includes BoM, 3D printing settings, assembly guide and license",DYNAMIXEL XL430-W250-T; ROBOTIS U2D2; U2D2 power hub; constant-force springs; MGN7C 80mm linear rail/carriage; flat belt; heat-set inserts; M2/M3 screws; PLA printed body; optional TPU fingers using UMI settings,https://github.com/actuated-umi/actuated-umi-gripper; https://actuated-umi.github.io/; https://www.robotis.com/; https://www.mybotshop.de/,"MIT, with third-party UMI content under MIT according to repo.",Dynamixel and U2D2 are globally available but can be expensive; MGN rails/springs/belts are easy to source in China.,Domestic substitutions: Feetech/Hiwonder/serial-bus servo for Dynamixel after torque/backlash tests; local MGN7C rails; CNC/PA-CF printed body; custom PCB replacing U2D2/power hub if volume grows.,"Low-to-medium: supply manageable, but servo substitution changes control fidelity and reliability.","Good robot-side v0 gripper reference. Use for deployment mirror of passive UMI data; package with current limit, emergency open, overload logging and replaceable fingertips.",Well verified from official README.
Dobb-E,2023,home robot data with reacher-grabber,25 USD reacher-grabber stick plus 3D printed parts and iPhone,phone pose and visual data for Hello Robot Stretch adaptation,iPhone video and tool interaction data,open-source home robot stack and models,low-cost household in-the-wild collection; strong home-service positioning,embodiment tied to Stretch and quasi-static home tasks; not a general UMI replacement,reference for low-cost service-scene data collection product design,SRC-robotics-075,Useful contrast: lower hardware barrier but larger human-robot embodiment gap than UMI.,,,,,,,,,待验证：未纳入 2026-05-27 UMI 硬件 BOM 表
GELLO,2023,leader-follower low-cost teleoperation,3D printed controller matching target robot kinematics with off-the-shelf motors,joint-space controller mirrors target arm,"robot observations, joint commands, gripper commands","teleoperated demonstration collection for Franka, UR5 and xArm",high-quality robot-native data; intuitive for complex manipulation,requires target robot during data collection and per-robot controller builds,near-term practical ToB offering for clients who already own robot arms,SRC-robotics-076,Good complement to UMI rather than replacement.,GELLO mechanical/software repos and project page; BOM assembly instructions in Google Doc,"Per-robot 3D-printed kinematic leader arm; off-the-shelf motors; shared gripper parts; supported designs for Franka, UR5, xArm7, YAM, Lite6, AR4, FR3/FR3 Duo; U2D2/serial setup in software",https://wuphilipp.github.io/gello_site/; https://github.com/wuphilipp/gello_software; https://github.com/wuphilipp/gello_mechanical; https://arxiv.org/abs/2309.13037,Software repo MIT; mechanical repo MIT; website CC BY-SA 4.0.,"No rare sensor. Main dependencies are motors, printed parts, controller electronics and target robot availability.",Highly localizable: adapt to JAKA/Dobot/Aubo/Elite/xArm/ARX/Piper using local motor kits and CNC/3D printing. Strong fit for customers who already own target arms.,Low supply risk; medium engineering risk per new robot kinematic replica and calibration.,Offer as ToB data service option when client has robot arms and needs high-quality robot-native trajectories. Pair with UMI-like data for out-of-lab scene coverage.,Good control group and near-term service route.
Mobile ALOHA / ALOHA,2023/2024,whole-body bimanual teleoperation,low-cost bimanual mobile manipulation robot with whole-body teleoperation,direct robot teleoperation,"multi-camera video, joints, grippers, mobile base",ACT and co-training with static/mobile datasets,high-quality data for mobile bimanual tasks,expensive and environment-tied compared with handheld UMI; collection depends on full robot,benchmark for high-end data factory and mobile manipulation service,SRC-robotics-077;SRC-robotics-080,Useful for understanding ToB data service when clients need robot-native demonstrations.,Official ALOHA and Mobile ALOHA repos link hardware assembly tutorials; project sites describe system and cost,Four Interbotix/X-series arms for stationary ALOHA; four cameras; ROS Noetic; USB3-heavy workstation; Mobile ALOHA adds mobile base and whole-body teleoperation; ACT training stack; HDF5 data episodes,https://tonyzhaozh.github.io/aloha/; https://github.com/tonyzhaozh/aloha; https://mobile-aloha.github.io/; https://github.com/MarkFzp/mobile-aloha; https://www.trossenrobotics.com/,ALOHA repo MIT; Mobile ALOHA repo MIT. Hardware kit terms and Google hardware tutorial details need vendor/legal review.,"Commercial components are available but full system is expensive, bulky and robot-dependent. USB stability, camera sync and multi-robot maintenance are operational bottlenecks.",Domestic route: replace Interbotix arms with xArm Lite/ARX/Piper/Dobot/JAKA small arms; use domestic RGB cameras; local mobile base; use LeRobot/ACT compatible dataset export. Build service cell rather than handheld kit.,"Medium: not discontinued but cost, import lead time and maintenance burden are high.",Use as high-end data-factory reference for bimanual/mobile tasks. Do not lead with it for low-cost entry; use when client specifically needs robot-native dual-arm/mobile data.,Useful benchmark/control group.
