"phase","check_item","acceptance_rule","record_field","evidence_or_basis","status"
"task_definition","Task is a single-arm tabletop cup transfer with fixed start zone, target zone and object list","Define zones, object IDs, operator ID hash, device ID and task instruction before collection","task_id,scene_id,object_manifest,operator_id_hash,device_id","Derived from UMI 50-demo community principle and LeRobot task metadata requirements: SRC-robotics-068;SRC-robotics-053","template"
"pre_check","Camera, pose source, gripper width source and timebase are recording","Every episode has video, pose, width and timestamps; missing channel triggers re-record or rejected label","camera_ok,pose_ok,width_ok,time_sync_ok","UMI stores RGB, pose and width arrays; LeRobot requires synchronized state/action/image rows: SRC-robotics-068;SRC-robotics-053","template"
"calibration","Camera intrinsics/extrinsics and tracker-to-TCP transform are versioned","Calibration version is written to manifest before first episode and after any hardware change","calibration_version,intrinsics_path,extrinsics_path,tracker_to_tcp_path","Production metadata recommendation from dataset schema comparison; source-backed formats in SRC-robotics-053","template"
"collection","Collect 100 attempted demonstrations, including failures and re-record reasons","Do not report 100 as valid data unless QC confirms effective episodes; raw attempts are preserved","attempt_id,episode_id,attempt_outcome,re_record_reason","100 demonstrations is a v0 target from the UMI business plan; failure retention follows HIL/failure-data sources: SRC-robotics-097","template"
"collection","Episode starts before grasp approach and ends after stable placement or failure stop","Start/end frame indices are reviewed; ambiguous boundaries get reviewer note","start_frame,end_frame,boundary_review","UMI uses episode_ends; LeRobot uses episode metadata offsets: SRC-robotics-068;SRC-robotics-053","template"
"qc_video","Wrist RGB is readable and task-relevant","Reviewer marks pass/fail for blur, occlusion, field of view and lighting; no numeric threshold is assumed before pilot calibration","video_blur_flag,occlusion_flag,fov_flag,lighting_flag","No source-backed numeric threshold found; keep qualitative until measured in pilot","template"
"qc_tracking","Pose trajectory is continuous enough for replay/training","Flag SLAM or pose-source loss, jumps, drift and missing ranges; set pass/fail with reviewer note","pose_tracking_pass,pose_loss_ranges,pose_jump_flag,drift_note","UMI README and hardware note identify SLAM/pose robustness as core risk: SRC-robotics-067","template"
"qc_width","Gripper width signal is present and aligned to video","Flag missing width, stuck width and obvious desync; do not infer true force from width","width_pass,width_missing_ranges,width_desync_note","UMI stores robot0_gripper_width; width is not a force sensor: SRC-robotics-068","template"
"qc_task","Outcome and failure cause are labeled","Each attempt has success, partial_success, failed, or rejected plus a reason code","outcome,failure_category,rejected_reason","Failure/intervention assets require outcome and reason labels: SRC-robotics-097; research-notes/failure-intervention-data-2026-05-27","template"
"export","UMI/Zarr and LeRobot exports are generated from the same manifest","Record exporter version, source manifest hash and output path for both formats","manifest_hash,zarr_path,lerobot_path,exporter_version","Crosswalk in umi_zarr_lerobot_schema_crosswalk.csv","template"
"customer_acceptance","Deliver raw, processed, annotations, qc, exports, training and failure samples","Customer package includes README, schema, QC report and baseline command; actual baseline metrics are filled only after training","package_path,schema_doc,qc_report,baseline_command,baseline_result_path","Hardware localization note data package template; baseline results must not be invented","template"
