"record_id","region","city_or_area","category","name","release_or_event_date","responsible_institution","source_type","official_priority","mentions_embodied_ai","mentions_data_collection","mentions_training_field","mentions_evaluation","mentions_public_platform","mentions_open_source_or_open_platform","mentions_standards","evidence_summary","relevance_to_training_data_business","status","source_url","verification_notes"
"EALP-001","北京","北京经开区/亦庄","policy","北京经济技术开发区关于推动具身智能机器人创新发展的若干措施","2025-08-12","北京经济技术开发区管理委员会","政策文件","S","yes","yes","yes","yes","yes","yes","partial","提出到2027年底打造千万规模级真实世界具身智能数据集；开放产业园区、商务楼宇、酒店公寓、医院药房等数据采集场景；遴选标杆具身智能实训场；支持数据集、数据交易共享、数据券和机器人二次开发社区。","对国内ToB数据采集服务最直接：政府补贴数据集、实训场和数据采购，适合验证数据工厂、场景运营、数据产品交易三类商业模式。","verified","https://kfqgw.beijing.gov.cn/zwgkkfq/2024zcwj/202508/t20250812_4171688.html","已核原文；后续可跟踪数据券实施细则、首批实训场名单和数据产品交易目录。"
"EALP-002","北京","北京经开区/台湖","public_training_field","北京人形机器人创新中心具身智能数据训练基地","2025-07-24","北京人形机器人创新中心；北京亦庄","政府部门新闻","S","yes","yes","yes","yes","yes","no","partial","国内首个基于真实场景的具身智能数据训练基地启动建设；包含具身智能训练与评测中心和具身智能运营中心；十大典型场景；动作捕捉、能力测试、机器人错题本、遥操作区、真实场景实训和数据飞轮闭环。","可作为公共训练场SOP样板：场景共建、动捕采集、能力测评、遥操作、真实场景准入和数据闭环。","verified","https://kw.beijing.gov.cn/xwdt/kcyx/xwdtscyqld/202507/t20250724_4156535.html","需后续核验基地正式开放后的场景清单、收费方式、数据格式和服务对象。"
"EALP-003","北京","石景山/首钢园","data_factory","石景山人形机器人数据训练中心/中关村（石景山）具身智能数据要素产业园","2025-09-26;2026-05-12","石景山区政府；京石科创集团；乐聚机器人等","政府部门新闻/首都之窗转载","S","yes","yes","yes","yes","yes","no","yes","国内最大人形机器人训练场落地石景山，披露年产数据量超600万条；2026年报道显示近270台套机器人满负荷训练、年生产数据近2000万条，并推进中关村（石景山）具身智能数据要素产业园。","代表重资产数据工厂路线，重点看标准化数据生产、数据交易、数据要素产业园和垂类场景数据服务。","verified","https://kw.beijing.gov.cn/xwdt/kcyx/xwdtshgg/202509/t20250926_4211351.html;https://www.beijing.gov.cn/fuwu/lqfw/gggs/202605/t20260512_4647044.html","需后续核验可对外购买的数据产品、数据确权方式、客户案例和具体数据质量指标。"
"EALP-004","北京","朝阳/国家速滑馆","evaluation_center","人形机器人产业生态训练和测评基地；ET-BenchMark","2026-04-27","中关村科技园区朝阳园管委会；中国电子信息产业发展研究院；中国软件评测中心；北京北奥集团","政府部门新闻","S","yes","partial","yes","yes","yes","no","yes","人形机器人产业生态训练和测评基地启动，定位为训练、测评、中试、认证、赛事支撑、产业服务公共服务平台；发布覆盖多形态具身智能机器人的系统性测评基准ET-BenchMark。","说明训练场正在和测评、认证、赛事合流，ToB服务可把数据采集、评测报告、准入认证打包。","verified","https://kw.beijing.gov.cn/xwdt/kcyx/xwdtshgg/202604/t20260427_4616009.html","需获取ET-BenchMark正式文档、测试项目、评价指标和收费/开放机制。"
"EALP-005","北京","海淀","policy","关于打造全国具身智能创新高地的三年行动方案（2024—2026年）","2024-11-07","北京市海淀区人民政府；北京市发展改革委；北京市科委中关村管委会；北京市经济和信息化局","政策文件转载","S","yes","yes","partial","yes","yes","partial","partial","提出打造具身智能创新中心，建设高质量多模态具身智能训练数据库，搭建端到端仿真开发平台，开展场景实测验证。","偏研发和模型生态，适合作为高校/实验室/创新中心型数据平台线索。","needs_follow_up","https://www.ncsti.gov.cn/zcfg/zcwj/202411/t20241107_184962.html","该来源为国家科技成果转化项目库转载，后续应补海淀区或北京市原始发布页。"
"EALP-006","上海","全市","policy","上海市具身智能产业发展实施方案","2025-07-28","上海市人民政府办公厅","政策文件","S","yes","yes","yes","yes","yes","yes","yes","提出到2027年具身模型、具身语料等核心算法与技术突破不少于20项；支持具身语料技术、语料工具链、高质量具身数据集、语料券；建设算力、数字孪生实训场、中试、投资、租赁五大平台。","上海把具身语料、数字孪生实训场和公共平台写入市级政策，适合数据工具链、语料产品和仿真训练场服务。","verified","https://www.shanghai.gov.cn/nw12344/20250806/f9cb53544505426d807055ca20bd69fc.html","后续跟踪语料券实施办法、数字孪生实训场主体和五大平台落地名单。"
"EALP-007","上海","浦东/张江","standardization_trial","上海虚实融合具身智能训练场标准化试点","2025-10-10","人形机器人（上海）有限公司/国家地方共建人形机器人创新中心；浦东新区人民政府","政府新闻","S","yes","yes","yes","yes","yes","partial","yes","全国首个具身智能领域国家级标准化试点；上海国地中心主训练场统领全国分训练场的1+N模式；围绕实体物理场、虚拟训练场、本体/部组件、场景应用制定80余项标准；训练数据管理要求和训练场环境构建规范已进入征求意见。","训练场互联互通和数据归集标准的关键样本，直接影响数据采集设备、数据格式和数据服务商准入。","verified","https://www.shanghai.gov.cn/nw15343/20251014/d0339346ade141b4a886722c3b3ed3af.html","需持续跟踪标准正式文本、分训练场认定规则和数据归集接口。"
"EALP-008","上海","上海/张江","standard_and_corpus_ecosystem","人形机器人及具身智能创新论坛；共建具身智能语料数据生态倡议","2024-11-01","上海市经济信息化委；上海市市场监管局；国家地方共建人形机器人创新中心；上海张江集团","政府部门新闻","S","yes","yes","no","partial","yes","yes","yes","论坛发布全国首批人形机器人具身智能标准，并发起《共建具身智能语料数据生态》倡议；库帕思、国地中心、智元、傅利叶、中国电科21所、开普勒签署具身智能语料运营合作意向。","显示上海较早把标准、语料运营和头部企业协作放在同一生态中，值得跟踪语料运营主体。","verified","https://www.shanghai.gov.cn/nw31406/20241101/ee05ed8490f34100a76a06490ac077c4.html","需补倡议书全文、团体标准全文和语料运营合作的具体产品。"
"EALP-009","上海","浦东/张江","industry_platform","张江具身智能数据联盟与“格物-致知”通用具身智能联合开发平台","2025-05-30","浦东新区人民政府；国家地方共建人形机器人创新中心等","政府新闻","S","yes","yes","partial","partial","yes","yes","yes","2025张江具身智能开发者大会上，浦东发布产业政策和标准互认计划，具身智能数据联盟和“格物-致知”通用具身智能联合开发平台成立亮相。","适合作为上海数据联盟、开发者平台、标准互认和场景开放的跟踪入口。","verified","https://www.shanghai.gov.cn/nw15343/20250603/ac06c586669746eab2f78d9327c937f9.html","需补平台运营方、数据开放范围、成员单位名单和开发者工具链。"
"EALP-010","上海","浦东/张江","data_factory","国家地方共建人形机器人创新中心训练场；智元机器人张江数采厂","2025-02-25","浦东新区人民政府；人形机器人（上海）有限公司；智元机器人","政府新闻","S","yes","yes","yes","partial","yes","yes","partial","浦东报道称全国首个异构人形机器人训练场于2025-01-21启用；智元在张江有4000平方米数采厂，100台机器人每日产生上万条数据；人形机器人（上海）有限公司开源全尺寸公版机“青龙”并发布开源百万真机数据集。","上海同时出现公共训练场和企业数据工厂，是数据采集设备、数据质检和多本体标准化的重要观察点。","verified","https://www.shanghai.gov.cn/nw15343/20250226/f879b08662ef400bbb62d0afa406b8e3.html","需从企业/平台官方补充数据格式、许可、数据样例和客户/研究者使用情况。"
